!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 1  | tee -a cifar10_fold_1.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 16.30% | ternary-only 16.30% | gd 2.1599 | es-evals 0.0M | 6s
step    50 | es-min 1.8618 | es-mean 2.0452 | val 24.60% | ternary-only 24.60% | gd 1.7943 | es-evals 0.1M | 36s
step   100 | es-min 1.8491 | es-mean 2.0745 | val 26.60% | ternary-only 26.60% | gd 1.8609 | es-evals 0.1M | 68s
step   150 | es-min 1.7650 | es-mean 1.9564 | val 26.16% | ternary-only 26.16% | gd 1.7365 | es-evals 0.2M | 98s
step   200 | es-min 1.8797 | es-mean 2.0923 | val 28.59% | ternary-only 28.59% | gd 1.8203 | es-evals 0.2M | 130s
step   250 | es-min 1.7849 | es-mean 2.0297 | val 27.61% | ternary-only 27.61% | gd 1.7659 | es-evals 0.3M | 160s
step   300 | es-min 1.8201 | es-mean 1.9874 | val 28.96% | ternary-only 28.96% | gd 1.7614 | es-evals 0.3M | 191s
step   350 | es-min 1.8580 | es-mean 2.0912 | val 29.77% | ternary-only 29.77% | gd 1.8825 | es-evals 0.4M | 222s
step   400 | es-min 1.6975 | es-mean 1.9269 | val 30.47% | ternary-only 30.47% | gd 1.6451 | es-evals 0.4M | 253s
step   450 | es-min 1.9371 | es-mean 2.1056 | val 27.71% | ternary-only 27.71% | gd 1.8888 | es-evals 0.5M | 283s
step   500 | es-min 1.7681 | es-mean 1.9898 | val 31.83% | ternary-only 31.83% | gd 1.8513 | es-evals 0.5M | 315s
step   550 | es-min 1.7890 | es-mean 1.9903 | val 27.77% | ternary-only 27.77% | gd 1.7889 | es-evals 0.6M | 345s
step   600 | es-min 1.8606 | es-mean 2.0235 | val 30.18% | ternary-only 30.18% | gd 1.7845 | es-evals 0.6M | 376s
step   650 | es-min 1.7605 | es-mean 1.9354 | val 28.63% | ternary-only 28.63% | gd 1.7182 | es-evals 0.7M | 407s
step   700 | es-min 1.8999 | es-mean 2.0647 | val 28.83% | ternary-only 28.83% | gd 1.9209 | es-evals 0.7M | 438s
step   750 | es-min 1.8355 | es-mean 2.0094 | val 28.89% | ternary-only 28.89% | gd 1.8430 | es-evals 0.8M | 469s
step   800 | es-min 1.8043 | es-mean 1.9613 | val 29.94% | ternary-only 29.94% | gd 1.7809 | es-evals 0.8M | 500s
step   850 | es-min 1.6947 | es-mean 1.8877 | val 31.96% | ternary-only 31.96% | gd 1.6450 | es-evals 0.9M | 530s
step   900 | es-min 1.7486 | es-mean 1.9410 | val 29.44% | ternary-only 29.44% | gd 1.7222 | es-evals 0.9M | 561s
step   950 | es-min 1.6929 | es-mean 1.8898 | val 31.75% | ternary-only 31.75% | gd 1.6596 | es-evals 1.0M | 592s
step  1000 | es-min 1.4765 | es-mean 1.6691 | val 31.17% | ternary-only 31.17% | gd 1.3977 | es-evals 1.0M | 623s
step  1050 | es-min 1.7868 | es-mean 1.9849 | val 30.05% | ternary-only 30.05% | gd 1.7766 | es-evals 1.1M | 654s
step  1100 | es-min 1.7035 | es-mean 1.8768 | val 32.31% | ternary-only 32.31% | gd 1.7300 | es-evals 1.1M | 685s
step  1150 | es-min 1.7687 | es-mean 1.9597 | val 31.49% | ternary-only 31.49% | gd 1.7516 | es-evals 1.2M | 715s
step  1200 | es-min 1.6335 | es-mean 1.8082 | val 32.55% | ternary-only 32.55% | gd 1.5853 | es-evals 1.2M | 747s
step  1250 | es-min 1.7515 | es-mean 1.9113 | val 29.84% | ternary-only 29.84% | gd 1.7446 | es-evals 1.3M | 777s
