!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 1 --gd-opt muon | tee -a cifar10_fold_1_muon.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=muon | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 16.87% | ternary-only 16.87% | gd 2.1599 | es-evals 0.0M | 5s
step    50 | es-min 1.8461 | es-mean 2.0726 | val 23.80% | ternary-only 23.80% | gd 1.8364 | es-evals 0.1M | 36s
step   100 | es-min 1.8421 | es-mean 2.0694 | val 27.56% | ternary-only 27.56% | gd 1.7977 | es-evals 0.1M | 67s
step   150 | es-min 1.8143 | es-mean 1.9930 | val 25.22% | ternary-only 25.22% | gd 1.7812 | es-evals 0.2M | 98s
step   200 | es-min 1.7285 | es-mean 2.0204 | val 29.13% | ternary-only 29.13% | gd 1.7618 | es-evals 0.2M | 129s
step   250 | es-min 1.7983 | es-mean 2.0069 | val 27.40% | ternary-only 27.40% | gd 1.8582 | es-evals 0.3M | 160s
step   300 | es-min 1.7768 | es-mean 1.9785 | val 28.07% | ternary-only 28.07% | gd 1.7761 | es-evals 0.3M | 191s
step   350 | es-min 1.7884 | es-mean 2.0277 | val 30.43% | ternary-only 30.43% | gd 1.7577 | es-evals 0.4M | 222s
step   400 | es-min 1.7460 | es-mean 1.9531 | val 29.72% | ternary-only 29.72% | gd 1.7618 | es-evals 0.4M | 253s
step   450 | es-min 1.8450 | es-mean 2.0345 | val 29.37% | ternary-only 29.37% | gd 1.8277 | es-evals 0.5M | 284s
step   500 | es-min 1.8154 | es-mean 2.0367 | val 31.69% | ternary-only 31.69% | gd 1.8186 | es-evals 0.5M | 315s
step   550 | es-min 1.7814 | es-mean 1.9532 | val 27.97% | ternary-only 27.97% | gd 1.7426 | es-evals 0.6M | 346s
step   600 | es-min 1.8004 | es-mean 1.9925 | val 29.64% | ternary-only 29.64% | gd 1.8398 | es-evals 0.6M | 377s
step   650 | es-min 1.7590 | es-mean 1.9638 | val 30.71% | ternary-only 30.71% | gd 1.7894 | es-evals 0.7M | 408s
step   700 | es-min 1.9511 | es-mean 2.1202 | val 29.48% | ternary-only 29.48% | gd 1.9499 | es-evals 0.7M | 439s
step   750 | es-min 1.7924 | es-mean 1.9663 | val 29.73% | ternary-only 29.73% | gd 1.7865 | es-evals 0.8M | 470s
step   800 | es-min 1.7259 | es-mean 1.9514 | val 32.11% | ternary-only 32.11% | gd 1.7704 | es-evals 0.8M | 501s
step   850 | es-min 1.6620 | es-mean 1.8570 | val 31.55% | ternary-only 31.55% | gd 1.6538 | es-evals 0.9M | 532s
step   900 | es-min 1.8141 | es-mean 1.9746 | val 30.72% | ternary-only 30.72% | gd 1.8426 | es-evals 0.9M | 563s
step   950 | es-min 1.7201 | es-mean 1.8731 | val 30.62% | ternary-only 30.62% | gd 1.7248 | es-evals 1.0M | 594s
step  1000 | es-min 1.6206 | es-mean 1.7755 | val 29.07% | ternary-only 29.07% | gd 1.6737 | es-evals 1.0M | 624s
step  1050 | es-min 1.8573 | es-mean 2.0490 | val 28.07% | ternary-only 28.07% | gd 1.8866 | es-evals 1.1M | 655s
step  1100 | es-min 1.7790 | es-mean 1.9469 | val 29.84% | ternary-only 29.84% | gd 1.8270 | es-evals 1.1M | 686s
step  1150 | es-min 1.8587 | es-mean 2.0399 | val 31.90% | ternary-only 31.90% | gd 1.7833 | es-evals 1.2M | 717s
step  1200 | es-min 1.7402 | es-mean 1.9015 | val 30.87% | ternary-only 30.87% | gd 1.7673 | es-evals 1.2M | 748s
step  1250 | es-min 1.8104 | es-mean 1.9811 | val 29.78% | ternary-only 29.78% | gd 1.8454 | es-evals 1.3M | 780s
step  1300 | es-min 1.7786 | es-mean 1.9606 | val 30.08% | ternary-only 30.08% | gd 1.7482 | es-evals 1.3M | 811s
step  1350 | es-min 1.7644 | es-mean 1.9610 | val 32.21% | ternary-only 32.21% | gd 1.8528 | es-evals 1.4M | 843s
step  1400 | es-min 1.7255 | es-mean 1.9058 | val 31.85% | ternary-only 31.85% | gd 1.7556 | es-evals 1.4M | 874s
step  1450 | es-min 1.9012 | es-mean 2.0986 | val 31.60% | ternary-only 31.60% | gd 1.9153 | es-evals 1.5M | 905s
step  1500 | es-min 1.7632 | es-mean 1.9514 | val 32.24% | ternary-only 32.24% | gd 1.7218 | es-evals 1.5M | 936s
step  1550 | es-min 1.7692 | es-mean 1.9551 | val 31.14% | ternary-only 31.14% | gd 1.7580 | es-evals 1.6M | 968s
step  1600 | es-min 1.8627 | es-mean 2.0583 | val 32.81% | ternary-only 32.81% | gd 1.8785 | es-evals 1.6M | 999s
step  1650 | es-min 1.6821 | es-mean 1.8797 | val 32.00% | ternary-only 32.00% | gd 1.7651 | es-evals 1.7M | 1030s
step  1700 | es-min 1.8798 | es-mean 2.1150 | val 30.70% | ternary-only 30.70% | gd 1.9708 | es-evals 1.7M | 1061s
step  1750 | es-min 1.7266 | es-mean 1.9139 | val 32.01% | ternary-only 32.01% | gd 1.7357 | es-evals 1.8M | 1092s
step  1800 | es-min 1.7030 | es-mean 1.9955 | val 30.49% | ternary-only 30.49% | gd 1.7478 | es-evals 1.8M | 1123s
step  1850 | es-min 1.8065 | es-mean 2.0293 | val 32.03% | ternary-only 32.03% | gd 1.7905 | es-evals 1.9M | 1154s
step  1900 | es-min 1.7249 | es-mean 1.8917 | val 30.73% | ternary-only 30.73% | gd 1.7245 | es-evals 1.9M | 1185s
step  1950 | es-min 1.8324 | es-mean 2.0333 | val 30.83% | ternary-only 30.83% | gd 1.8576 | es-evals 2.0M | 1216s
step  2000 | es-min 1.7610 | es-mean 1.9514 | val 30.70% | ternary-only 30.70% | gd 1.7925 | es-evals 2.0M | 1248s
