!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 1 --pop 256 | tee -a cifar10_fold_1_pop256.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.2301 | es-mean 2.4011 | val 16.66% | ternary-only 16.66% | gd 2.2356 | es-evals 0.0M | 5s
step    50 | es-min 1.9282 | es-mean 2.1540 | val 22.53% | ternary-only 22.53% | gd 1.9126 | es-evals 0.0M | 16s
step   100 | es-min 1.9154 | es-mean 2.2166 | val 23.60% | ternary-only 23.60% | gd 1.9006 | es-evals 0.0M | 28s
step   150 | es-min 1.8413 | es-mean 2.1506 | val 23.13% | ternary-only 23.13% | gd 1.8191 | es-evals 0.0M | 41s
step   200 | es-min 2.0688 | es-mean 2.3143 | val 24.37% | ternary-only 24.37% | gd 2.0810 | es-evals 0.1M | 52s
step   250 | es-min 1.9499 | es-mean 2.1832 | val 24.20% | ternary-only 24.20% | gd 1.9494 | es-evals 0.1M | 64s
step   300 | es-min 1.9373 | es-mean 2.1458 | val 22.00% | ternary-only 22.00% | gd 1.8795 | es-evals 0.1M | 76s
step   350 | es-min 1.9984 | es-mean 2.2120 | val 25.11% | ternary-only 25.11% | gd 1.9439 | es-evals 0.1M | 87s
step   400 | es-min 1.8913 | es-mean 2.0902 | val 23.47% | ternary-only 23.47% | gd 1.8636 | es-evals 0.1M | 99s
step   450 | es-min 2.1001 | es-mean 2.2853 | val 25.77% | ternary-only 25.77% | gd 2.1037 | es-evals 0.1M | 112s
step   500 | es-min 2.0467 | es-mean 2.2597 | val 24.36% | ternary-only 24.36% | gd 2.0301 | es-evals 0.1M | 124s
step   550 | es-min 1.9701 | es-mean 2.1919 | val 23.82% | ternary-only 23.82% | gd 1.9636 | es-evals 0.1M | 136s
step   600 | es-min 1.9066 | es-mean 2.1434 | val 23.65% | ternary-only 23.65% | gd 1.9337 | es-evals 0.2M | 148s
step   650 | es-min 1.9459 | es-mean 2.1468 | val 20.85% | ternary-only 20.85% | gd 1.9435 | es-evals 0.2M | 161s
step   700 | es-min 2.1481 | es-mean 2.2966 | val 20.15% | ternary-only 20.15% | gd 2.1428 | es-evals 0.2M | 174s
step   750 | es-min 1.9372 | es-mean 2.1170 | val 22.45% | ternary-only 22.45% | gd 1.9876 | es-evals 0.2M | 186s
step   800 | es-min 1.8896 | es-mean 2.0497 | val 22.98% | ternary-only 22.98% | gd 1.8438 | es-evals 0.2M | 199s
step   850 | es-min 1.9530 | es-mean 2.1047 | val 24.97% | ternary-only 24.97% | gd 1.9142 | es-evals 0.2M | 211s
step   900 | es-min 1.9652 | es-mean 2.1287 | val 22.44% | ternary-only 22.44% | gd 1.9795 | es-evals 0.2M | 224s
step   950 | es-min 1.7878 | es-mean 2.0118 | val 22.73% | ternary-only 22.73% | gd 1.8478 | es-evals 0.2M | 236s
step  1000 | es-min 1.7969 | es-mean 1.9556 | val 23.15% | ternary-only 23.15% | gd 1.7757 | es-evals 0.3M | 249s
step  1050 | es-min 1.9314 | es-mean 2.1576 | val 22.04% | ternary-only 22.04% | gd 1.9813 | es-evals 0.3M | 262s
