!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 1 --rank 1 | tee -a cifar10_fold_1_rank1.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=1 | base(ternary) params=78k  residual(fp) params=2.1k (2.7% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.2314 | es-mean 2.4269 | val 15.00% | ternary-only 15.00% | gd 2.2189 | es-evals 0.0M | 6s
step    50 | es-min 1.9715 | es-mean 2.0948 | val 23.45% | ternary-only 23.45% | gd 1.9240 | es-evals 0.1M | 39s
step   100 | es-min 2.0812 | es-mean 2.2164 | val 25.59% | ternary-only 25.59% | gd 2.0927 | es-evals 0.1M | 73s
step   150 | es-min 1.9879 | es-mean 2.1283 | val 24.12% | ternary-only 24.12% | gd 1.9716 | es-evals 0.2M | 105s
step   200 | es-min 1.9136 | es-mean 2.0886 | val 24.46% | ternary-only 24.46% | gd 1.8957 | es-evals 0.2M | 138s
step   250 | es-min 1.8134 | es-mean 1.9849 | val 27.40% | ternary-only 27.40% | gd 1.7755 | es-evals 0.3M | 171s
step   300 | es-min 1.8213 | es-mean 1.9849 | val 26.48% | ternary-only 26.48% | gd 1.7555 | es-evals 0.3M | 205s
step   350 | es-min 1.8409 | es-mean 2.0428 | val 28.86% | ternary-only 28.86% | gd 1.8509 | es-evals 0.4M | 237s
step   400 | es-min 1.6889 | es-mean 1.8848 | val 29.27% | ternary-only 29.27% | gd 1.6758 | es-evals 0.4M | 270s
step   450 | es-min 1.8923 | es-mean 2.0418 | val 30.32% | ternary-only 30.32% | gd 1.8580 | es-evals 0.5M | 304s
step   500 | es-min 1.7295 | es-mean 1.9213 | val 26.54% | ternary-only 26.54% | gd 1.7223 | es-evals 0.5M | 337s
step   550 | es-min 2.0097 | es-mean 2.1653 | val 30.70% | ternary-only 30.70% | gd 1.9929 | es-evals 0.6M | 370s
step   600 | es-min 1.7542 | es-mean 1.9589 | val 30.81% | ternary-only 30.81% | gd 1.7401 | es-evals 0.6M | 404s
step   650 | es-min 1.5398 | es-mean 1.7275 | val 28.89% | ternary-only 28.89% | gd 1.5653 | es-evals 0.7M | 437s
step   700 | es-min 1.8324 | es-mean 2.0440 | val 28.19% | ternary-only 28.19% | gd 1.8919 | es-evals 0.7M | 470s
step   750 | es-min 1.7042 | es-mean 1.8757 | val 30.25% | ternary-only 30.25% | gd 1.6589 | es-evals 0.8M | 503s
step   800 | es-min 1.7362 | es-mean 1.9474 | val 30.78% | ternary-only 30.78% | gd 1.7810 | es-evals 0.8M | 537s
step   850 | es-min 1.7222 | es-mean 1.9784 | val 29.73% | ternary-only 29.73% | gd 1.8025 | es-evals 0.9M | 570s
step   900 | es-min 1.6332 | es-mean 1.7912 | val 33.41% | ternary-only 33.41% | gd 1.6600 | es-evals 0.9M | 603s
step   950 | es-min 1.7559 | es-mean 1.9576 | val 32.29% | ternary-only 32.29% | gd 1.7098 | es-evals 1.0M | 636s
step  1000 | es-min 2.0038 | es-mean 2.1721 | val 32.95% | ternary-only 32.95% | gd 1.9877 | es-evals 1.0M | 669s
step  1050 | es-min 1.9244 | es-mean 2.0801 | val 32.59% | ternary-only 32.59% | gd 1.9440 | es-evals 1.1M | 702s
step  1100 | es-min 1.8082 | es-mean 1.9696 | val 32.11% | ternary-only 32.11% | gd 1.8752 | es-evals 1.1M | 736s
step  1150 | es-min 1.7944 | es-mean 1.9523 | val 32.16% | ternary-only 32.16% | gd 1.7774 | es-evals 1.2M | 769s
step  1200 | es-min 1.9773 | es-mean 2.1536 | val 32.93% | ternary-only 32.93% | gd 1.9702 | es-evals 1.2M | 802s
step  1250 | es-min 1.8046 | es-mean 1.9748 | val 31.42% | ternary-only 31.42% | gd 1.8286 | es-evals 1.3M | 835s
step  1300 | es-min 1.8614 | es-mean 2.0110 | val 32.50% | ternary-only 32.50% | gd 1.8741 | es-evals 1.3M | 869s
step  1350 | es-min 1.6298 | es-mean 1.7734 | val 32.06% | ternary-only 32.06% | gd 1.5974 | es-evals 1.4M | 902s
step  1400 | es-min 1.7011 | es-mean 1.9282 | val 34.74% | ternary-only 34.74% | gd 1.7063 | es-evals 1.4M | 934s
step  1450 | es-min 1.6664 | es-mean 1.8482 | val 34.48% | ternary-only 34.48% | gd 1.5967 | es-evals 1.5M | 968s
step  1500 | es-min 1.7237 | es-mean 1.8934 | val 32.17% | ternary-only 32.17% | gd 1.7294 | es-evals 1.5M | 1001s
