!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 1 --gd-opt sign | tee -a cifar10_fold_1_sign.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=sign | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 17.02% | ternary-only 17.02% | gd 2.1599 | es-evals 0.0M | 5s
step    50 | es-min 1.8853 | es-mean 2.0695 | val 24.96% | ternary-only 24.96% | gd 1.8558 | es-evals 0.1M | 34s
step   100 | es-min 1.8603 | es-mean 2.0621 | val 27.23% | ternary-only 27.23% | gd 1.8207 | es-evals 0.1M | 64s
step   150 | es-min 1.7489 | es-mean 1.9762 | val 25.93% | ternary-only 25.93% | gd 1.7407 | es-evals 0.2M | 94s
step   200 | es-min 1.8520 | es-mean 2.0602 | val 28.94% | ternary-only 28.94% | gd 1.8185 | es-evals 0.2M | 123s
step   250 | es-min 1.8313 | es-mean 2.0337 | val 28.74% | ternary-only 28.74% | gd 1.7993 | es-evals 0.3M | 153s
step   300 | es-min 1.8145 | es-mean 2.0194 | val 27.31% | ternary-only 27.31% | gd 1.7868 | es-evals 0.3M | 183s
step   350 | es-min 1.7960 | es-mean 2.0366 | val 28.49% | ternary-only 28.49% | gd 1.8158 | es-evals 0.4M | 213s
step   400 | es-min 1.7455 | es-mean 1.9581 | val 29.23% | ternary-only 29.23% | gd 1.6889 | es-evals 0.4M | 243s
step   450 | es-min 1.8118 | es-mean 2.0199 | val 28.38% | ternary-only 28.38% | gd 1.8038 | es-evals 0.5M | 272s
step   500 | es-min 1.8233 | es-mean 2.0268 | val 31.11% | ternary-only 31.11% | gd 1.8303 | es-evals 0.5M | 302s
step   550 | es-min 1.8275 | es-mean 2.0229 | val 28.91% | ternary-only 28.91% | gd 1.8835 | es-evals 0.6M | 332s
step   600 | es-min 1.8144 | es-mean 1.9978 | val 30.06% | ternary-only 30.06% | gd 1.8409 | es-evals 0.6M | 362s
step   650 | es-min 1.7776 | es-mean 1.9332 | val 29.50% | ternary-only 29.50% | gd 1.7664 | es-evals 0.7M | 391s
step   700 | es-min 1.9532 | es-mean 2.0898 | val 28.37% | ternary-only 28.37% | gd 1.9150 | es-evals 0.7M | 421s
step   750 | es-min 1.7666 | es-mean 1.9669 | val 26.64% | ternary-only 26.64% | gd 1.8207 | es-evals 0.8M | 451s
step   800 | es-min 1.8022 | es-mean 1.9659 | val 30.06% | ternary-only 30.06% | gd 1.7209 | es-evals 0.8M | 480s
step   850 | es-min 1.7351 | es-mean 1.9536 | val 30.84% | ternary-only 30.84% | gd 1.7953 | es-evals 0.9M | 510s
step   900 | es-min 1.8443 | es-mean 2.0120 | val 28.81% | ternary-only 28.81% | gd 1.8969 | es-evals 0.9M | 540s
step   950 | es-min 1.7361 | es-mean 1.9387 | val 30.55% | ternary-only 30.55% | gd 1.6958 | es-evals 1.0M | 570s
step  1000 | es-min 1.6788 | es-mean 1.8574 | val 27.39% | ternary-only 27.39% | gd 1.6626 | es-evals 1.0M | 600s
step  1050 | es-min 1.8525 | es-mean 2.0276 | val 27.54% | ternary-only 27.54% | gd 1.8647 | es-evals 1.1M | 629s
step  1100 | es-min 1.8435 | es-mean 2.0133 | val 29.41% | ternary-only 29.41% | gd 1.8639 | es-evals 1.1M | 659s
step  1150 | es-min 1.8261 | es-mean 1.9862 | val 29.77% | ternary-only 29.77% | gd 1.7443 | es-evals 1.2M | 689s
step  1200 | es-min 1.8263 | es-mean 2.0024 | val 28.80% | ternary-only 28.80% | gd 1.7973 | es-evals 1.2M | 718s
step  1250 | es-min 1.7157 | es-mean 1.9188 | val 29.39% | ternary-only 29.39% | gd 1.6998 | es-evals 1.3M | 748s
step  1300 | es-min 1.8192 | es-mean 1.9848 | val 29.46% | ternary-only 29.46% | gd 1.8818 | es-evals 1.3M | 778s
step  1350 | es-min 1.9693 | es-mean 2.1533 | val 28.93% | ternary-only 28.93% | gd 2.0303 | es-evals 1.4M | 808s
step  1400 | es-min 1.7281 | es-mean 1.9363 | val 29.77% | ternary-only 29.77% | gd 1.6649 | es-evals 1.4M | 838s
step  1450 | es-min 1.8786 | es-mean 2.0584 | val 28.45% | ternary-only 28.45% | gd 1.8561 | es-evals 1.5M | 867s
step  1500 | es-min 1.7802 | es-mean 1.9413 | val 31.91% | ternary-only 31.91% | gd 1.7093 | es-evals 1.5M | 897s
step  1550 | es-min 1.7773 | es-mean 1.9825 | val 28.16% | ternary-only 28.16% | gd 1.8583 | es-evals 1.6M | 927s
step  1600 | es-min 1.7355 | es-mean 1.9112 | val 29.64% | ternary-only 29.64% | gd 1.8569 | es-evals 1.6M | 957s
step  1650 | es-min 1.6869 | es-mean 1.8974 | val 26.42% | ternary-only 26.42% | gd 1.8956 | es-evals 1.7M | 986s
step  1700 | es-min 1.8597 | es-mean 2.0177 | val 25.82% | ternary-only 25.82% | gd 1.9244 | es-evals 1.7M | 1016s
step  1750 | es-min 1.7597 | es-mean 1.9041 | val 29.62% | ternary-only 29.62% | gd 1.7696 | es-evals 1.8M | 1046s
step  1800 | es-min 1.7280 | es-mean 1.9295 | val 28.42% | ternary-only 28.42% | gd 1.7550 | es-evals 1.8M | 1076s
step  1850 | es-min 1.8729 | es-mean 2.0528 | val 31.22% | ternary-only 31.22% | gd 1.9401 | es-evals 1.9M | 1105s
step  1900 | es-min 1.8141 | es-mean 1.9992 | val 31.43% | ternary-only 31.43% | gd 1.7830 | es-evals 1.9M | 1135s
step  1950 | es-min 1.9073 | es-mean 2.0659 | val 29.32% | ternary-only 29.32% | gd 1.8696 | es-evals 2.0M | 1164s
step  2000 | es-min 1.7566 | es-mean 1.9313 | val 29.10% | ternary-only 29.10% | gd 1.6976 | es-evals 2.0M | 1195s
