!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 50 --gd-opt muon  | tee -a cifar10_fold_50_muon.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=muon | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 17.84% | ternary-only 13.57% | gd 2.1599 | es-evals 0.0M | 5s
step    50 | es-min 1.9588 | es-mean 2.1363 | val 19.20% | ternary-only 19.20% | gd 1.9357 | es-evals 0.1M | 35s
step   100 | es-min 1.9375 | es-mean 2.1357 | val 21.09% | ternary-only 21.09% | gd 1.9581 | es-evals 0.1M | 66s
step   150 | es-min 1.7796 | es-mean 2.0002 | val 23.40% | ternary-only 23.40% | gd 1.7474 | es-evals 0.2M | 96s
step   200 | es-min 1.9634 | es-mean 2.1826 | val 25.13% | ternary-only 25.13% | gd 1.9445 | es-evals 0.2M | 127s
step   250 | es-min 1.8252 | es-mean 2.0304 | val 24.89% | ternary-only 24.89% | gd 1.8404 | es-evals 0.3M | 158s
step   300 | es-min 1.8802 | es-mean 2.0506 | val 26.94% | ternary-only 26.94% | gd 1.8878 | es-evals 0.3M | 188s
step   350 | es-min 1.9147 | es-mean 2.1071 | val 24.79% | ternary-only 24.79% | gd 1.9020 | es-evals 0.4M | 219s
step   400 | es-min 1.7781 | es-mean 1.9446 | val 27.30% | ternary-only 27.30% | gd 1.7522 | es-evals 0.4M | 250s
step   450 | es-min 1.8786 | es-mean 2.0960 | val 27.97% | ternary-only 27.97% | gd 1.9227 | es-evals 0.5M | 280s
step   500 | es-min 1.7626 | es-mean 1.9033 | val 23.61% | ternary-only 23.61% | gd 1.7855 | es-evals 0.5M | 311s
step   550 | es-min 1.8467 | es-mean 2.0202 | val 26.48% | ternary-only 26.48% | gd 1.8926 | es-evals 0.6M | 342s
step   600 | es-min 1.8212 | es-mean 2.0725 | val 28.03% | ternary-only 28.03% | gd 1.8844 | es-evals 0.6M | 373s
step   650 | es-min 1.8964 | es-mean 2.1003 | val 23.96% | ternary-only 23.96% | gd 1.8604 | es-evals 0.7M | 404s
step   700 | es-min 2.2054 | es-mean 2.4387 | val 26.49% | ternary-only 26.49% | gd 2.0989 | es-evals 0.7M | 435s
step   750 | es-min 1.9370 | es-mean 2.1420 | val 24.10% | ternary-only 24.10% | gd 1.8489 | es-evals 0.8M | 466s
step   800 | es-min 1.8424 | es-mean 2.1518 | val 21.43% | ternary-only 21.43% | gd 1.8088 | es-evals 0.8M | 497s
step   850 | es-min 1.8423 | es-mean 2.0255 | val 23.15% | ternary-only 23.15% | gd 1.7918 | es-evals 0.9M | 528s
step   900 | es-min 1.8229 | es-mean 1.9601 | val 25.31% | ternary-only 25.31% | gd 1.8546 | es-evals 0.9M | 559s
step   950 | es-min 1.7771 | es-mean 2.0767 | val 16.12% | ternary-only 16.12% | gd 1.7688 | es-evals 1.0M | 589s
step  1000 | es-min 1.7784 | es-mean 2.1289 | val 10.89% | ternary-only 10.89% | gd 1.7398 | es-evals 1.0M | 621s
step  1050 | es-min 1.9586 | es-mean 2.1513 | val 14.12% | ternary-only 14.12% | gd 1.9739 | es-evals 1.1M | 651s
step  1100 | es-min 1.9130 | es-mean 2.1335 | val 19.87% | ternary-only 19.87% | gd 1.8474 | es-evals 1.1M | 683s
step  1150 | es-min 2.1167 | es-mean 2.3290 | val 14.18% | ternary-only 14.18% | gd 2.2064 | es-evals 1.2M | 714s
step  1200 | es-min 1.9381 | es-mean 2.0742 | val 13.99% | ternary-only 13.99% | gd 1.9736 | es-evals 1.2M | 745s
step  1250 | es-min 1.7717 | es-mean 1.9668 | val 15.12% | ternary-only 15.12% | gd 1.8576 | es-evals 1.3M | 775s
step  1300 | es-min 1.8839 | es-mean 2.0900 | val 12.63% | ternary-only 12.63% | gd 1.8274 | es-evals 1.3M | 806s
step  1350 | es-min 1.8337 | es-mean 2.1284 | val 20.58% | ternary-only 20.58% | gd 1.8837 | es-evals 1.4M | 837s
step  1400 | es-min 1.8677 | es-mean 2.1107 | val 21.82% | ternary-only 21.82% | gd 1.9185 | es-evals 1.4M | 868s
