!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 50 --gd-opt sign  | tee -a cifar10_fold_50_sign.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=sign | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 16.55% | ternary-only 13.57% | gd 2.1599 | es-evals 0.0M | 5s
step    50 | es-min 2.0697 | es-mean 2.3059 | val 20.22% | ternary-only 20.22% | gd 2.0464 | es-evals 0.1M | 35s
step   100 | es-min 2.0351 | es-mean 2.2574 | val 23.37% | ternary-only 23.37% | gd 2.0306 | es-evals 0.1M | 65s
step   150 | es-min 1.8730 | es-mean 2.0708 | val 23.36% | ternary-only 23.36% | gd 1.8489 | es-evals 0.2M | 96s
step   200 | es-min 1.9058 | es-mean 2.1181 | val 25.06% | ternary-only 25.06% | gd 1.9657 | es-evals 0.2M | 125s
step   250 | es-min 1.8272 | es-mean 2.0229 | val 24.45% | ternary-only 24.45% | gd 1.7676 | es-evals 0.3M | 155s
step   300 | es-min 1.8850 | es-mean 2.0566 | val 27.57% | ternary-only 27.57% | gd 1.9210 | es-evals 0.3M | 185s
step   350 | es-min 1.7304 | es-mean 1.9080 | val 28.34% | ternary-only 28.34% | gd 1.6823 | es-evals 0.4M | 215s
step   400 | es-min 1.8733 | es-mean 2.0882 | val 25.12% | ternary-only 25.12% | gd 1.9697 | es-evals 0.4M | 246s
step   450 | es-min 1.8768 | es-mean 2.0557 | val 21.27% | ternary-only 21.27% | gd 1.8658 | es-evals 0.5M | 275s
step   500 | es-min 1.8713 | es-mean 2.0862 | val 31.02% | ternary-only 31.02% | gd 1.8969 | es-evals 0.5M | 306s
step   550 | es-min 1.9767 | es-mean 2.3463 | val 25.89% | ternary-only 25.89% | gd 1.9993 | es-evals 0.6M | 335s
step   600 | es-min 1.8702 | es-mean 2.1076 | val 29.35% | ternary-only 29.35% | gd 1.8930 | es-evals 0.6M | 365s
step   650 | es-min 1.8705 | es-mean 2.0926 | val 29.89% | ternary-only 29.89% | gd 1.8802 | es-evals 0.7M | 395s
step   700 | es-min 2.0733 | es-mean 2.2733 | val 26.38% | ternary-only 26.38% | gd 1.9681 | es-evals 0.7M | 425s
step   750 | es-min 1.8974 | es-mean 2.1004 | val 24.93% | ternary-only 24.93% | gd 1.8772 | es-evals 0.8M | 455s
step   800 | es-min 1.8043 | es-mean 1.9910 | val 22.95% | ternary-only 22.95% | gd 1.8455 | es-evals 0.8M | 485s
step   850 | es-min 1.7656 | es-mean 1.9490 | val 29.71% | ternary-only 29.71% | gd 1.7801 | es-evals 0.9M | 516s
step   900 | es-min 1.8066 | es-mean 1.9605 | val 27.61% | ternary-only 27.61% | gd 1.8001 | es-evals 0.9M | 545s
step   950 | es-min 1.6519 | es-mean 1.8393 | val 24.66% | ternary-only 24.66% | gd 1.6270 | es-evals 1.0M | 575s
step  1000 | es-min 1.6706 | es-mean 1.9055 | val 17.86% | ternary-only 17.86% | gd 1.6490 | es-evals 1.0M | 605s
step  1050 | es-min 1.9525 | es-mean 2.1055 | val 21.41% | ternary-only 21.41% | gd 1.9422 | es-evals 1.1M | 635s
step  1100 | es-min 2.0254 | es-mean 2.4712 | val 21.28% | ternary-only 21.28% | gd 1.9572 | es-evals 1.1M | 665s
step  1150 | es-min 2.0701 | es-mean 2.4762 | val 10.74% | ternary-only 10.74% | gd 1.9756 | es-evals 1.2M | 695s
step  1200 | es-min 1.8063 | es-mean 2.0153 | val 25.17% | ternary-only 25.17% | gd 1.7942 | es-evals 1.2M | 726s
step  1250 | es-min 1.9571 | es-mean 2.1680 | val 12.72% | ternary-only 12.72% | gd 2.1054 | es-evals 1.3M | 755s
step  1300 | es-min 2.1022 | es-mean 2.4230 | val 14.36% | ternary-only 14.36% | gd 2.1540 | es-evals 1.3M | 786s
step  1350 | es-min 1.8197 | es-mean 2.0616 | val 22.76% | ternary-only 22.76% | gd 1.9486 | es-evals 1.4M | 815s
step  1400 | es-min 1.9496 | es-mean 2.1936 | val 16.62% | ternary-only 16.62% | gd 2.1191 | es-evals 1.4M | 845s
step  1450 | es-min 1.9623 | es-mean 2.1491 | val 16.10% | ternary-only 16.10% | gd 2.0285 | es-evals 1.5M | 876s
