!python -u spike-m2rnn/hybrid/train.py --dataset cifar10  | tee -a cifar10_hybrid.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 15.57% | ternary-only 13.57% | gd 2.1599 | es-evals 0.0M | 5s
step    50 | es-min 2.0919 | es-mean 2.2387 | val 18.54% | ternary-only 20.02% | gd 2.0223 | es-evals 0.1M | 36s
step   100 | es-min 2.1983 | es-mean 2.3391 | val 14.40% | ternary-only 13.23% | gd 2.1971 | es-evals 0.1M | 68s
step   150 | es-min 2.0309 | es-mean 2.2687 | val 18.52% | ternary-only 16.70% | gd 2.0468 | es-evals 0.2M | 99s
step   200 | es-min 2.1124 | es-mean 2.2071 | val 18.77% | ternary-only 14.60% | gd 2.1188 | es-evals 0.2M | 131s
step   250 | es-min 2.1271 | es-mean 2.2332 | val 16.67% | ternary-only 14.12% | gd 2.1239 | es-evals 0.3M | 162s
step   300 | es-min 2.1360 | es-mean 2.2577 | val 17.51% | ternary-only 10.21% | gd 2.1459 | es-evals 0.3M | 193s
step   350 | es-min 2.0285 | es-mean 2.1169 | val 18.85% | ternary-only 10.38% | gd 2.0485 | es-evals 0.4M | 224s
step   400 | es-min 2.0539 | es-mean 2.1209 | val 19.57% | ternary-only 14.27% | gd 2.0682 | es-evals 0.4M | 256s
step   450 | es-min 2.1820 | es-mean 2.2700 | val 19.51% | ternary-only 10.90% | gd 2.1818 | es-evals 0.5M | 287s
step   500 | es-min 2.1156 | es-mean 2.1633 | val 19.29% | ternary-only 11.93% | gd 2.1146 | es-evals 0.5M | 319s
step   550 | es-min 2.0293 | es-mean 2.0855 | val 19.03% | ternary-only 14.52% | gd 2.0204 | es-evals 0.6M | 351s
step   600 | es-min 2.1289 | es-mean 2.1840 | val 18.25% | ternary-only 12.77% | gd 2.1131 | es-evals 0.6M | 382s
step   650 | es-min 2.0156 | es-mean 2.0929 | val 19.61% | ternary-only 13.28% | gd 2.0158 | es-evals 0.7M | 413s
step   700 | es-min 2.1702 | es-mean 2.2104 | val 16.10% | ternary-only 9.83% | gd 2.1713 | es-evals 0.7M | 444s
step   750 | es-min 2.0256 | es-mean 2.0767 | val 17.24% | ternary-only 11.51% | gd 2.0152 | es-evals 0.8M | 475s
step   800 | es-min 2.0574 | es-mean 2.1137 | val 18.92% | ternary-only 10.87% | gd 2.0482 | es-evals 0.8M | 507s
step   850 | es-min 2.0481 | es-mean 2.1055 | val 19.09% | ternary-only 9.66% | gd 2.0405 | es-evals 0.9M | 538s
step   900 | es-min 1.9829 | es-mean 2.0322 | val 19.21% | ternary-only 11.21% | gd 1.9801 | es-evals 0.9M | 569s
step   950 | es-min 1.9915 | es-mean 2.0431 | val 21.15% | ternary-only 10.98% | gd 1.9809 | es-evals 1.0M | 600s
step  1000 | es-min 1.7679 | es-mean 1.8338 | val 21.26% | ternary-only 9.81% | gd 1.7463 | es-evals 1.0M | 631s
step  1050 | es-min 2.0679 | es-mean 2.1176 | val 18.17% | ternary-only 8.69% | gd 2.0575 | es-evals 1.1M | 662s
step  1100 | es-min 1.9263 | es-mean 1.9792 | val 19.33% | ternary-only 8.83% | gd 1.9154 | es-evals 1.1M | 693s
step  1150 | es-min 2.0970 | es-mean 2.1522 | val 20.99% | ternary-only 8.83% | gd 2.0875 | es-evals 1.2M | 724s
step  1200 | es-min 1.9651 | es-mean 2.0339 | val 22.00% | ternary-only 10.10% | gd 1.9722 | es-evals 1.2M | 755s
step  1250 | es-min 1.9843 | es-mean 2.0477 | val 19.40% | ternary-only 10.63% | gd 1.9630 | es-evals 1.3M | 786s
step  1300 | es-min 2.0658 | es-mean 2.1403 | val 20.66% | ternary-only 9.64% | gd 2.0638 | es-evals 1.3M | 817s
step  1350 | es-min 2.0680 | es-mean 2.1226 | val 20.72% | ternary-only 10.30% | gd 2.0363 | es-evals 1.4M | 849s
step  1400 | es-min 1.9826 | es-mean 2.0622 | val 20.21% | ternary-only 8.76% | gd 1.9516 | es-evals 1.4M | 880s
step  1450 | es-min 2.1969 | es-mean 2.3094 | val 21.14% | ternary-only 9.03% | gd 2.1462 | es-evals 1.5M | 911s
step  1500 | es-min 2.0547 | es-mean 2.1323 | val 19.00% | ternary-only 10.44% | gd 2.0252 | es-evals 1.5M | 943s
step  1550 | es-min 1.9999 | es-mean 2.0711 | val 20.62% | ternary-only 10.45% | gd 1.9861 | es-evals 1.6M | 974s
step  1600 | es-min 2.2262 | es-mean 2.3451 | val 21.18% | ternary-only 10.06% | gd 2.1590 | es-evals 1.6M | 1005s
step  1650 | es-min 1.8980 | es-mean 2.0253 | val 20.78% | ternary-only 9.96% | gd 1.8975 | es-evals 1.7M | 1037s
step  1700 | es-min 1.9349 | es-mean 2.0068 | val 20.93% | ternary-only 9.40% | gd 1.9593 | es-evals 1.7M | 1067s
step  1750 | es-min 1.9917 | es-mean 2.0452 | val 20.52% | ternary-only 9.96% | gd 2.0043 | es-evals 1.8M | 1099s
step  1800 | es-min 1.9836 | es-mean 2.0871 | val 15.89% | ternary-only 10.00% | gd 1.9459 | es-evals 1.8M | 1130s
step  1850 | es-min 1.9499 | es-mean 2.0632 | val 21.33% | ternary-only 9.99% | gd 1.9140 | es-evals 1.9M | 1161s
step  1900 | es-min 1.9331 | es-mean 1.9985 | val 21.26% | ternary-only 10.10% | gd 1.9254 | es-evals 1.9M | 1192s
step  1950 | es-min 2.1147 | es-mean 2.2278 | val 19.77% | ternary-only 9.45% | gd 2.0915 | es-evals 2.0M | 1223s
step  2000 | es-min 1.9473 | es-mean 2.0415 | val 20.59% | ternary-only 9.97% | gd 1.9093 | es-evals 2.0M | 1254s
