!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --gd-opt muon | tee -a cifar10_hybrid_muon.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=muon | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 17.84% | ternary-only 13.57% | gd 2.1599 | es-evals 0.0M | 5s
step    50 | es-min 1.9588 | es-mean 2.1363 | val 17.63% | ternary-only 18.21% | gd 1.9357 | es-evals 0.1M | 36s
step   100 | es-min 2.0151 | es-mean 2.1497 | val 16.50% | ternary-only 12.08% | gd 1.9916 | es-evals 0.1M | 67s
step   150 | es-min 1.9228 | es-mean 2.0772 | val 19.66% | ternary-only 13.37% | gd 1.9096 | es-evals 0.2M | 99s
step   200 | es-min 2.1056 | es-mean 2.2267 | val 20.18% | ternary-only 12.20% | gd 2.0948 | es-evals 0.2M | 130s
step   250 | es-min 2.0243 | es-mean 2.1140 | val 21.26% | ternary-only 9.59% | gd 2.0139 | es-evals 0.3M | 161s
step   300 | es-min 2.1271 | es-mean 2.2362 | val 19.02% | ternary-only 10.85% | gd 2.1230 | es-evals 0.3M | 194s
step   350 | es-min 2.0570 | es-mean 2.1251 | val 20.59% | ternary-only 9.03% | gd 2.0577 | es-evals 0.4M | 225s
step   400 | es-min 2.0413 | es-mean 2.1252 | val 20.19% | ternary-only 9.14% | gd 2.0332 | es-evals 0.4M | 257s
step   450 | es-min 1.9973 | es-mean 2.0653 | val 20.04% | ternary-only 9.93% | gd 1.9936 | es-evals 0.5M | 288s
step   500 | es-min 2.0578 | es-mean 2.1289 | val 22.58% | ternary-only 13.05% | gd 2.0354 | es-evals 0.5M | 321s
step   550 | es-min 2.0464 | es-mean 2.1240 | val 19.93% | ternary-only 11.17% | gd 2.0254 | es-evals 0.6M | 352s
step   600 | es-min 2.0394 | es-mean 2.1046 | val 21.22% | ternary-only 9.10% | gd 2.0517 | es-evals 0.6M | 384s
step   650 | es-min 2.1120 | es-mean 2.2237 | val 19.78% | ternary-only 10.44% | gd 2.0622 | es-evals 0.7M | 415s
step   700 | es-min 2.1743 | es-mean 2.2644 | val 15.58% | ternary-only 10.00% | gd 2.1717 | es-evals 0.7M | 447s
step   750 | es-min 2.0828 | es-mean 2.1690 | val 19.69% | ternary-only 10.01% | gd 2.0501 | es-evals 0.8M | 479s
step   800 | es-min 1.9810 | es-mean 2.0529 | val 22.22% | ternary-only 10.16% | gd 1.9688 | es-evals 0.8M | 510s
step   850 | es-min 1.9724 | es-mean 2.0446 | val 21.92% | ternary-only 11.31% | gd 1.9637 | es-evals 0.9M | 542s
step   900 | es-min 1.9521 | es-mean 2.0094 | val 21.34% | ternary-only 10.54% | gd 1.9395 | es-evals 0.9M | 574s
step   950 | es-min 1.9685 | es-mean 2.0699 | val 22.88% | ternary-only 9.97% | gd 1.9296 | es-evals 1.0M | 606s
step  1000 | es-min 1.7294 | es-mean 1.8340 | val 21.49% | ternary-only 10.56% | gd 1.7086 | es-evals 1.0M | 637s
step  1050 | es-min 2.0048 | es-mean 2.1101 | val 20.91% | ternary-only 10.56% | gd 1.9970 | es-evals 1.1M | 669s
step  1100 | es-min 1.9879 | es-mean 2.0698 | val 22.53% | ternary-only 10.37% | gd 2.0228 | es-evals 1.1M | 700s
step  1150 | es-min 2.1327 | es-mean 2.2451 | val 23.86% | ternary-only 10.86% | gd 2.1657 | es-evals 1.2M | 731s
step  1200 | es-min 1.9177 | es-mean 2.0203 | val 22.48% | ternary-only 10.00% | gd 1.8687 | es-evals 1.2M | 762s
step  1250 | es-min 1.8738 | es-mean 1.9665 | val 21.14% | ternary-only 10.03% | gd 1.8608 | es-evals 1.3M | 794s
step  1300 | es-min 2.0618 | es-mean 2.1580 | val 23.18% | ternary-only 11.71% | gd 2.0298 | es-evals 1.3M | 825s
step  1350 | es-min 2.0334 | es-mean 2.1170 | val 22.65% | ternary-only 10.11% | gd 2.0608 | es-evals 1.4M | 857s
step  1400 | es-min 2.0491 | es-mean 2.1377 | val 21.36% | ternary-only 11.49% | gd 2.0458 | es-evals 1.4M | 889s
step  1450 | es-min 2.0046 | es-mean 2.1509 | val 18.23% | ternary-only 8.78% | gd 2.0203 | es-evals 1.5M | 920s
step  1500 | es-min 1.9551 | es-mean 2.0830 | val 20.80% | ternary-only 10.68% | gd 1.9489 | es-evals 1.5M | 952s
step  1550 | es-min 2.0138 | es-mean 2.1035 | val 20.65% | ternary-only 9.69% | gd 2.0353 | es-evals 1.6M | 983s
step  1600 | es-min 2.0782 | es-mean 2.2121 | val 21.61% | ternary-only 8.80% | gd 2.0336 | es-evals 1.6M | 1015s
step  1650 | es-min 1.9540 | es-mean 2.0520 | val 22.22% | ternary-only 9.64% | gd 1.9297 | es-evals 1.7M | 1046s
step  1700 | es-min 1.8499 | es-mean 1.9606 | val 22.36% | ternary-only 7.41% | gd 1.8529 | es-evals 1.7M | 1077s
step  1750 | es-min 1.9415 | es-mean 2.0596 | val 22.76% | ternary-only 9.96% | gd 1.9553 | es-evals 1.8M | 1109s
step  1800 | es-min 1.9898 | es-mean 2.2157 | val 17.02% | ternary-only 9.23% | gd 1.9646 | es-evals 1.8M | 1140s
step  1850 | es-min 1.9557 | es-mean 2.0815 | val 22.14% | ternary-only 10.70% | gd 1.8773 | es-evals 1.9M | 1172s
step  1900 | es-min 1.9789 | es-mean 2.0891 | val 22.79% | ternary-only 10.95% | gd 1.9924 | es-evals 1.9M | 1203s
step  1950 | es-min 2.1113 | es-mean 2.2231 | val 23.03% | ternary-only 11.05% | gd 2.1764 | es-evals 2.0M | 1235s
step  2000 | es-min 1.9639 | es-mean 2.0897 | val 22.33% | ternary-only 11.07% | gd 1.9696 | es-evals 2.0M | 1266s
