!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --gd-opt sign | tee -a cifar10_hybrid_sign.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=sign | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 16.55% | ternary-only 13.57% | gd 2.1599 | es-evals 0.0M | 6s
step    50 | es-min 2.0697 | es-mean 2.3059 | val 15.52% | ternary-only 18.12% | gd 2.0464 | es-evals 0.1M | 35s
step   100 | es-min 1.9722 | es-mean 2.1278 | val 15.60% | ternary-only 13.73% | gd 1.9780 | es-evals 0.1M | 65s
step   150 | es-min 1.9759 | es-mean 2.2639 | val 18.78% | ternary-only 15.18% | gd 2.0221 | es-evals 0.2M | 95s
step   200 | es-min 2.0749 | es-mean 2.2938 | val 18.07% | ternary-only 13.86% | gd 2.0694 | es-evals 0.2M | 126s
step   250 | es-min 2.0574 | es-mean 2.1647 | val 18.80% | ternary-only 13.03% | gd 2.0444 | es-evals 0.3M | 156s
step   300 | es-min 2.1278 | es-mean 2.2430 | val 19.06% | ternary-only 11.64% | gd 2.1295 | es-evals 0.3M | 187s
step   350 | es-min 2.0103 | es-mean 2.1106 | val 20.96% | ternary-only 9.19% | gd 1.9823 | es-evals 0.4M | 217s
step   400 | es-min 2.1204 | es-mean 2.2237 | val 20.95% | ternary-only 9.78% | gd 2.1066 | es-evals 0.4M | 247s
step   450 | es-min 2.0938 | es-mean 2.1592 | val 21.01% | ternary-only 8.10% | gd 2.0758 | es-evals 0.5M | 278s
step   500 | es-min 2.0592 | es-mean 2.1141 | val 18.91% | ternary-only 10.80% | gd 2.0454 | es-evals 0.5M | 308s
step   550 | es-min 2.0237 | es-mean 2.0974 | val 19.38% | ternary-only 11.15% | gd 2.0424 | es-evals 0.6M | 339s
step   600 | es-min 2.1016 | es-mean 2.1630 | val 17.61% | ternary-only 10.27% | gd 2.0738 | es-evals 0.6M | 369s
step   650 | es-min 1.9930 | es-mean 2.0685 | val 19.58% | ternary-only 10.52% | gd 1.9641 | es-evals 0.7M | 400s
step   700 | es-min 2.1592 | es-mean 2.2260 | val 15.02% | ternary-only 8.46% | gd 2.1953 | es-evals 0.7M | 431s
step   750 | es-min 2.0686 | es-mean 2.1713 | val 18.98% | ternary-only 9.63% | gd 2.0737 | es-evals 0.8M | 462s
step   800 | es-min 2.0483 | es-mean 2.1138 | val 22.26% | ternary-only 10.04% | gd 2.0316 | es-evals 0.8M | 492s
step   850 | es-min 1.9834 | es-mean 2.0522 | val 17.47% | ternary-only 8.14% | gd 1.9759 | es-evals 0.9M | 523s
step   900 | es-min 1.9447 | es-mean 1.9988 | val 20.61% | ternary-only 10.54% | gd 1.9503 | es-evals 0.9M | 553s
step   950 | es-min 1.9749 | es-mean 2.0761 | val 20.90% | ternary-only 8.70% | gd 1.9326 | es-evals 1.0M | 584s
step  1000 | es-min 1.6951 | es-mean 1.8146 | val 21.64% | ternary-only 9.36% | gd 1.6603 | es-evals 1.0M | 614s
step  1050 | es-min 2.0663 | es-mean 2.1434 | val 18.42% | ternary-only 9.50% | gd 2.0821 | es-evals 1.1M | 645s
step  1100 | es-min 1.9546 | es-mean 2.0476 | val 19.66% | ternary-only 9.36% | gd 1.9650 | es-evals 1.1M | 675s
step  1150 | es-min 2.0711 | es-mean 2.1540 | val 20.85% | ternary-only 9.48% | gd 2.0765 | es-evals 1.2M | 705s
step  1200 | es-min 1.9936 | es-mean 2.1311 | val 19.31% | ternary-only 7.71% | gd 1.9882 | es-evals 1.2M | 736s
step  1250 | es-min 2.0268 | es-mean 2.1182 | val 17.84% | ternary-only 8.79% | gd 2.0225 | es-evals 1.3M | 766s
step  1300 | es-min 2.0998 | es-mean 2.2606 | val 20.91% | ternary-only 10.00% | gd 2.0839 | es-evals 1.3M | 797s
step  1350 | es-min 2.0259 | es-mean 2.1169 | val 20.99% | ternary-only 10.45% | gd 2.0162 | es-evals 1.4M | 827s
step  1400 | es-min 2.1192 | es-mean 2.2229 | val 20.57% | ternary-only 9.13% | gd 2.0796 | es-evals 1.4M | 858s
step  1450 | es-min 2.1107 | es-mean 2.3149 | val 19.07% | ternary-only 9.97% | gd 2.1457 | es-evals 1.5M | 888s
step  1500 | es-min 1.9587 | es-mean 2.0752 | val 20.04% | ternary-only 10.00% | gd 1.9679 | es-evals 1.5M | 919s
step  1550 | es-min 2.1662 | es-mean 2.3451 | val 17.77% | ternary-only 10.36% | gd 2.1875 | es-evals 1.6M | 949s
step  1600 | es-min 2.0558 | es-mean 2.1842 | val 18.16% | ternary-only 10.14% | gd 2.1072 | es-evals 1.6M | 980s
step  1650 | es-min 1.9605 | es-mean 2.1327 | val 20.99% | ternary-only 10.81% | gd 1.9623 | es-evals 1.7M | 1010s
step  1700 | es-min 1.9853 | es-mean 2.0946 | val 18.85% | ternary-only 8.23% | gd 2.0034 | es-evals 1.7M | 1040s
step  1750 | es-min 2.0025 | es-mean 2.0938 | val 18.82% | ternary-only 10.85% | gd 2.0205 | es-evals 1.8M | 1071s
