!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 1 --pop 256 | tee -a mnist_fold_1_pop256.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.1757 | es-mean 2.4252 | val 9.76% | ternary-only 9.76% | gd 2.2267 | es-evals 0.0M | 5s
step    50 | es-min 1.8662 | es-mean 2.1628 | val 36.53% | ternary-only 36.53% | gd 1.8437 | es-evals 0.0M | 15s
step   100 | es-min 1.4291 | es-mean 1.7626 | val 49.60% | ternary-only 49.60% | gd 1.3219 | es-evals 0.0M | 27s
step   150 | es-min 1.2123 | es-mean 1.5435 | val 54.97% | ternary-only 54.97% | gd 1.1654 | es-evals 0.0M | 38s
step   200 | es-min 1.2863 | es-mean 1.6403 | val 54.75% | ternary-only 54.75% | gd 1.3096 | es-evals 0.1M | 49s
step   250 | es-min 1.4463 | es-mean 1.7269 | val 52.04% | ternary-only 52.04% | gd 1.3954 | es-evals 0.1M | 60s
step   300 | es-min 1.2122 | es-mean 1.5785 | val 54.90% | ternary-only 54.90% | gd 1.0896 | es-evals 0.1M | 72s
step   350 | es-min 1.1835 | es-mean 1.5337 | val 62.41% | ternary-only 62.41% | gd 1.1181 | es-evals 0.1M | 84s
step   400 | es-min 1.3553 | es-mean 1.7759 | val 58.90% | ternary-only 58.90% | gd 1.2540 | es-evals 0.1M | 96s
step   450 | es-min 0.9409 | es-mean 1.2458 | val 62.89% | ternary-only 62.89% | gd 1.0122 | es-evals 0.1M | 108s
step   500 | es-min 0.8304 | es-mean 1.1698 | val 60.64% | ternary-only 60.64% | gd 0.8464 | es-evals 0.1M | 120s
step   550 | es-min 0.8335 | es-mean 1.1445 | val 63.35% | ternary-only 63.35% | gd 0.8785 | es-evals 0.1M | 131s
step   600 | es-min 1.0177 | es-mean 1.2992 | val 66.08% | ternary-only 66.08% | gd 0.9958 | es-evals 0.2M | 143s
step   650 | es-min 0.8496 | es-mean 1.1560 | val 68.60% | ternary-only 68.60% | gd 0.8529 | es-evals 0.2M | 154s
step   700 | es-min 0.7270 | es-mean 1.0727 | val 64.52% | ternary-only 64.52% | gd 0.8920 | es-evals 0.2M | 165s
step   750 | es-min 0.9306 | es-mean 1.2628 | val 67.39% | ternary-only 67.39% | gd 0.9123 | es-evals 0.2M | 176s
step   800 | es-min 0.9990 | es-mean 1.2614 | val 66.14% | ternary-only 66.14% | gd 0.9648 | es-evals 0.2M | 187s
step   850 | es-min 0.9801 | es-mean 1.2599 | val 65.84% | ternary-only 65.84% | gd 0.9168 | es-evals 0.2M | 198s
step   900 | es-min 0.9729 | es-mean 1.2677 | val 66.79% | ternary-only 66.79% | gd 0.9799 | es-evals 0.2M | 210s
step   950 | es-min 0.8756 | es-mean 1.1894 | val 67.62% | ternary-only 67.62% | gd 1.0084 | es-evals 0.2M | 222s
step  1000 | es-min 0.9102 | es-mean 1.2047 | val 65.93% | ternary-only 65.93% | gd 1.0139 | es-evals 0.3M | 234s
step  1050 | es-min 1.1504 | es-mean 1.4168 | val 66.97% | ternary-only 66.97% | gd 1.0909 | es-evals 0.3M | 246s
step  1100 | es-min 0.5734 | es-mean 0.9251 | val 69.17% | ternary-only 69.17% | gd 0.5835 | es-evals 0.3M | 258s
step  1150 | es-min 1.1281 | es-mean 1.5167 | val 66.03% | ternary-only 66.03% | gd 1.1707 | es-evals 0.3M | 270s
step  1200 | es-min 0.7434 | es-mean 0.9833 | val 65.54% | ternary-only 65.54% | gd 0.6216 | es-evals 0.3M | 281s
step  1250 | es-min 1.0457 | es-mean 1.3558 | val 70.44% | ternary-only 70.44% | gd 1.0907 | es-evals 0.3M | 292s
step  1300 | es-min 0.8488 | es-mean 1.1093 | val 64.76% | ternary-only 64.76% | gd 0.8341 | es-evals 0.3M | 303s
step  1350 | es-min 0.7538 | es-mean 1.0663 | val 66.24% | ternary-only 66.24% | gd 0.7468 | es-evals 0.3M | 314s
step  1400 | es-min 0.9116 | es-mean 1.1605 | val 67.62% | ternary-only 67.62% | gd 0.8445 | es-evals 0.4M | 325s
step  1450 | es-min 0.9814 | es-mean 1.3736 | val 66.04% | ternary-only 66.04% | gd 1.1008 | es-evals 0.4M | 337s
step  1500 | es-min 0.6958 | es-mean 1.0058 | val 68.03% | ternary-only 68.03% | gd 0.7298 | es-evals 0.4M | 349s
step  1550 | es-min 0.9752 | es-mean 1.3554 | val 66.69% | ternary-only 66.69% | gd 1.0387 | es-evals 0.4M | 361s
step  1600 | es-min 0.9948 | es-mean 1.2387 | val 69.41% | ternary-only 69.41% | gd 0.9540 | es-evals 0.4M | 373s
step  1650 | es-min 0.9739 | es-mean 1.2890 | val 68.89% | ternary-only 68.89% | gd 0.9207 | es-evals 0.4M | 385s
step  1700 | es-min 0.6960 | es-mean 1.0497 | val 67.92% | ternary-only 67.92% | gd 0.6720 | es-evals 0.4M | 397s
