!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 1 --rank 1 | tee -a mnist_fold_1_rank1.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=1 | base(ternary) params=69k  residual(fp) params=2.0k (2.9% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.2350 | es-mean 2.3912 | val 9.82% | ternary-only 9.82% | gd 2.2814 | es-evals 0.0M | 5s
step    50 | es-min 2.0906 | es-mean 2.2923 | val 27.13% | ternary-only 27.13% | gd 2.0550 | es-evals 0.1M | 36s
step   100 | es-min 1.5953 | es-mean 1.8358 | val 38.81% | ternary-only 38.81% | gd 1.5432 | es-evals 0.1M | 68s
step   150 | es-min 1.3493 | es-mean 1.6257 | val 53.40% | ternary-only 53.40% | gd 1.2974 | es-evals 0.2M | 99s
step   200 | es-min 1.1221 | es-mean 1.3844 | val 60.10% | ternary-only 60.10% | gd 1.0376 | es-evals 0.2M | 131s
step   250 | es-min 0.7778 | es-mean 1.1321 | val 66.88% | ternary-only 66.88% | gd 0.6895 | es-evals 0.3M | 162s
step   300 | es-min 0.8457 | es-mean 1.1549 | val 71.32% | ternary-only 71.32% | gd 0.6898 | es-evals 0.3M | 194s
step   350 | es-min 0.6116 | es-mean 0.9027 | val 71.52% | ternary-only 71.52% | gd 0.5646 | es-evals 0.4M | 225s
step   400 | es-min 0.6651 | es-mean 0.8772 | val 74.99% | ternary-only 74.99% | gd 0.6172 | es-evals 0.4M | 257s
step   450 | es-min 0.5710 | es-mean 0.7842 | val 75.17% | ternary-only 75.17% | gd 0.5378 | es-evals 0.5M | 289s
step   500 | es-min 0.5629 | es-mean 0.7458 | val 76.52% | ternary-only 76.52% | gd 0.4944 | es-evals 0.5M | 320s
step   550 | es-min 0.5336 | es-mean 0.7501 | val 76.96% | ternary-only 76.96% | gd 0.4966 | es-evals 0.6M | 352s
step   600 | es-min 0.5333 | es-mean 0.7968 | val 79.59% | ternary-only 79.59% | gd 0.4667 | es-evals 0.6M | 383s
step   650 | es-min 0.4769 | es-mean 0.7433 | val 79.76% | ternary-only 79.76% | gd 0.5562 | es-evals 0.7M | 415s
step   700 | es-min 0.4957 | es-mean 0.6588 | val 81.10% | ternary-only 81.10% | gd 0.4887 | es-evals 0.7M | 446s
step   750 | es-min 0.3665 | es-mean 0.6659 | val 82.92% | ternary-only 82.92% | gd 0.3541 | es-evals 0.8M | 479s
step   800 | es-min 0.5401 | es-mean 0.7830 | val 81.99% | ternary-only 81.99% | gd 0.4722 | es-evals 0.8M | 511s
step   850 | es-min 0.4594 | es-mean 0.6309 | val 81.66% | ternary-only 81.66% | gd 0.3987 | es-evals 0.9M | 542s
step   900 | es-min 0.3502 | es-mean 0.6109 | val 83.79% | ternary-only 83.79% | gd 0.3231 | es-evals 0.9M | 574s
step   950 | es-min 0.4240 | es-mean 0.6429 | val 83.65% | ternary-only 83.65% | gd 0.3822 | es-evals 1.0M | 606s
step  1000 | es-min 0.3296 | es-mean 0.5397 | val 82.58% | ternary-only 82.58% | gd 0.3605 | es-evals 1.0M | 637s
step  1050 | es-min 0.3693 | es-mean 0.5622 | val 83.35% | ternary-only 83.35% | gd 0.3797 | es-evals 1.1M | 669s
step  1100 | es-min 0.4791 | es-mean 0.7327 | val 83.48% | ternary-only 83.48% | gd 0.5068 | es-evals 1.1M | 701s
step  1150 | es-min 0.4994 | es-mean 0.7282 | val 84.57% | ternary-only 84.57% | gd 0.3965 | es-evals 1.2M | 732s
step  1200 | es-min 0.3915 | es-mean 0.5764 | val 84.19% | ternary-only 84.19% | gd 0.3591 | es-evals 1.2M | 764s
step  1250 | es-min 0.2143 | es-mean 0.3912 | val 83.57% | ternary-only 83.57% | gd 0.1816 | es-evals 1.3M | 796s
step  1300 | es-min 0.4702 | es-mean 0.6955 | val 85.27% | ternary-only 85.27% | gd 0.4411 | es-evals 1.3M | 828s
step  1350 | es-min 0.2637 | es-mean 0.4959 | val 85.27% | ternary-only 85.27% | gd 0.2800 | es-evals 1.4M | 860s
step  1400 | es-min 0.4831 | es-mean 0.7226 | val 84.28% | ternary-only 84.28% | gd 0.4646 | es-evals 1.4M | 891s
step  1450 | es-min 0.4743 | es-mean 0.6758 | val 85.46% | ternary-only 85.46% | gd 0.4237 | es-evals 1.5M | 923s
step  1500 | es-min 0.3484 | es-mean 0.5032 | val 85.46% | ternary-only 85.46% | gd 0.3093 | es-evals 1.5M | 955s
step  1550 | es-min 0.4161 | es-mean 0.6246 | val 85.62% | ternary-only 85.62% | gd 0.3706 | es-evals 1.6M | 987s
step  1600 | es-min 0.2965 | es-mean 0.4973 | val 84.31% | ternary-only 84.31% | gd 0.3047 | es-evals 1.6M | 1018s
step  1650 | es-min 0.2559 | es-mean 0.4369 | val 85.45% | ternary-only 85.45% | gd 0.2420 | es-evals 1.7M | 1050s
step  1700 | es-min 0.2413 | es-mean 0.3855 | val 86.16% | ternary-only 86.16% | gd 0.2963 | es-evals 1.7M | 1082s
step  1750 | es-min 0.4079 | es-mean 0.5739 | val 85.84% | ternary-only 85.84% | gd 0.3589 | es-evals 1.8M | 1114s
step  1800 | es-min 0.5554 | es-mean 0.8433 | val 84.93% | ternary-only 84.93% | gd 0.6239 | es-evals 1.8M | 1146s
step  1850 | es-min 0.3269 | es-mean 0.5374 | val 86.20% | ternary-only 86.20% | gd 0.3153 | es-evals 1.9M | 1178s
step  1900 | es-min 0.4779 | es-mean 0.6878 | val 86.39% | ternary-only 86.39% | gd 0.4447 | es-evals 1.9M | 1211s
step  1950 | es-min 0.4339 | es-mean 0.5776 | val 86.81% | ternary-only 86.81% | gd 0.4236 | es-evals 2.0M | 1243s
step  2000 | es-min 0.2009 | es-mean 0.4013 | val 86.71% | ternary-only 86.71% | gd 0.2536 | es-evals 2.0M | 1276s
