!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 50  | tee -a mnist_fold_50.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 9.51% | ternary-only 12.48% | gd 2.2019 | es-evals 0.0M | 5s
step    50 | es-min 1.7937 | es-mean 2.0643 | val 34.56% | ternary-only 34.56% | gd 1.8107 | es-evals 0.1M | 35s
step   100 | es-min 1.4132 | es-mean 1.8712 | val 51.82% | ternary-only 51.82% | gd 1.3289 | es-evals 0.1M | 66s
step   150 | es-min 0.7631 | es-mean 1.1594 | val 61.38% | ternary-only 61.38% | gd 0.6186 | es-evals 0.2M | 96s
step   200 | es-min 0.6801 | es-mean 0.9826 | val 68.05% | ternary-only 68.05% | gd 0.5756 | es-evals 0.2M | 127s
step   250 | es-min 0.8023 | es-mean 1.2050 | val 78.26% | ternary-only 78.26% | gd 0.7527 | es-evals 0.3M | 157s
step   300 | es-min 0.7127 | es-mean 1.0148 | val 76.88% | ternary-only 76.88% | gd 0.6049 | es-evals 0.3M | 188s
step   350 | es-min 0.7520 | es-mean 1.0476 | val 71.43% | ternary-only 71.43% | gd 0.7096 | es-evals 0.4M | 218s
step   400 | es-min 0.9535 | es-mean 1.2873 | val 72.96% | ternary-only 72.96% | gd 0.8809 | es-evals 0.4M | 248s
step   450 | es-min 0.4270 | es-mean 0.7898 | val 71.31% | ternary-only 71.31% | gd 0.3394 | es-evals 0.5M | 278s
step   500 | es-min 0.3766 | es-mean 0.6767 | val 72.59% | ternary-only 72.59% | gd 0.3903 | es-evals 0.5M | 308s
step   550 | es-min 1.0260 | es-mean 1.7954 | val 58.58% | ternary-only 58.58% | gd 0.8521 | es-evals 0.6M | 339s
step   600 | es-min 0.6928 | es-mean 1.0517 | val 77.75% | ternary-only 77.75% | gd 0.7588 | es-evals 0.6M | 369s
step   650 | es-min 0.5156 | es-mean 0.7923 | val 72.69% | ternary-only 72.69% | gd 0.4916 | es-evals 0.7M | 399s
step   700 | es-min 0.3498 | es-mean 0.5417 | val 75.75% | ternary-only 75.75% | gd 0.2987 | es-evals 0.7M | 429s
step   750 | es-min 0.7186 | es-mean 1.1191 | val 77.81% | ternary-only 77.81% | gd 0.7700 | es-evals 0.8M | 460s
step   800 | es-min 0.6686 | es-mean 0.9489 | val 69.02% | ternary-only 69.02% | gd 0.5432 | es-evals 0.8M | 490s
step   850 | es-min 0.8554 | es-mean 1.2794 | val 76.60% | ternary-only 76.60% | gd 1.1203 | es-evals 0.9M | 521s
step   900 | es-min 0.7134 | es-mean 1.1095 | val 72.05% | ternary-only 72.05% | gd 0.7406 | es-evals 0.9M | 551s
step   950 | es-min 0.5818 | es-mean 0.8619 | val 75.77% | ternary-only 75.77% | gd 0.5764 | es-evals 1.0M | 582s
step  1000 | es-min 0.4678 | es-mean 0.6962 | val 73.39% | ternary-only 73.39% | gd 0.3882 | es-evals 1.0M | 612s
step  1050 | es-min 0.5399 | es-mean 0.7834 | val 76.07% | ternary-only 76.07% | gd 0.5267 | es-evals 1.1M | 643s
step  1100 | es-min 0.7825 | es-mean 1.1472 | val 71.23% | ternary-only 71.23% | gd 0.7763 | es-evals 1.1M | 673s
step  1150 | es-min 0.4663 | es-mean 0.7058 | val 76.31% | ternary-only 76.31% | gd 0.5072 | es-evals 1.2M | 703s
step  1200 | es-min 0.5208 | es-mean 0.8149 | val 78.02% | ternary-only 78.02% | gd 0.4658 | es-evals 1.2M | 733s
step  1250 | es-min 0.6218 | es-mean 0.9085 | val 78.82% | ternary-only 78.82% | gd 0.6213 | es-evals 1.3M | 764s
step  1300 | es-min 0.5858 | es-mean 0.8462 | val 74.40% | ternary-only 74.40% | gd 0.6409 | es-evals 1.3M | 794s
step  1350 | es-min 0.5911 | es-mean 1.0243 | val 67.61% | ternary-only 67.61% | gd 0.4787 | es-evals 1.4M | 824s
step  1400 | es-min 0.5987 | es-mean 1.0372 | val 74.71% | ternary-only 74.71% | gd 0.3244 | es-evals 1.4M | 855s
step  1450 | es-min 0.7099 | es-mean 1.0906 | val 71.06% | ternary-only 71.06% | gd 0.6366 | es-evals 1.5M | 885s
step  1500 | es-min 0.3824 | es-mean 0.5987 | val 75.80% | ternary-only 75.80% | gd 0.4236 | es-evals 1.5M | 916s
step  1550 | es-min 0.7259 | es-mean 0.9769 | val 74.35% | ternary-only 74.35% | gd 0.7086 | es-evals 1.6M | 946s
step  1600 | es-min 0.8381 | es-mean 1.2151 | val 60.86% | ternary-only 60.86% | gd 0.6995 | es-evals 1.6M | 977s
step  1650 | es-min 0.6946 | es-mean 0.9602 | val 70.90% | ternary-only 70.90% | gd 0.7153 | es-evals 1.7M | 1007s
step  1700 | es-min 0.5395 | es-mean 0.8202 | val 71.56% | ternary-only 71.56% | gd 0.5064 | es-evals 1.7M | 1038s
step  1750 | es-min 0.7294 | es-mean 1.1437 | val 63.49% | ternary-only 63.49% | gd 0.6086 | es-evals 1.8M | 1068s
step  1800 | es-min 0.7314 | es-mean 1.0691 | val 53.00% | ternary-only 53.00% | gd 0.6382 | es-evals 1.8M | 1099s
step  1850 | es-min 0.5165 | es-mean 0.7416 | val 67.52% | ternary-only 67.52% | gd 0.4945 | es-evals 1.9M | 1129s
step  1900 | es-min 0.6461 | es-mean 0.8325 | val 66.57% | ternary-only 66.57% | gd 0.6279 | es-evals 1.9M | 1160s
step  1950 | es-min 0.5435 | es-mean 0.7901 | val 63.46% | ternary-only 63.46% | gd 0.4736 | es-evals 2.0M | 1190s
step  2000 | es-min 0.7431 | es-mean 1.2140 | val 62.31% | ternary-only 62.31% | gd 0.5243 | es-evals 2.0M | 1221s
