!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 50 --gd-opt muon | tee -a mnist_fold_50_muon.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=muon | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 12.15% | ternary-only 12.48% | gd 2.2019 | es-evals 0.0M | 5s
step    50 | es-min 2.0425 | es-mean 2.4600 | val 21.81% | ternary-only 21.81% | gd 1.9765 | es-evals 0.1M | 33s
step   100 | es-min 1.8255 | es-mean 2.3866 | val 37.98% | ternary-only 37.98% | gd 1.5872 | es-evals 0.1M | 62s
step   150 | es-min 0.8030 | es-mean 1.2212 | val 45.28% | ternary-only 45.28% | gd 0.6850 | es-evals 0.2M | 91s
step   200 | es-min 0.7623 | es-mean 1.0757 | val 49.34% | ternary-only 49.34% | gd 0.6439 | es-evals 0.2M | 122s
step   250 | es-min 0.8765 | es-mean 1.3993 | val 70.61% | ternary-only 70.61% | gd 0.8535 | es-evals 0.3M | 152s
step   300 | es-min 0.8324 | es-mean 1.1105 | val 56.12% | ternary-only 56.12% | gd 0.7922 | es-evals 0.3M | 182s
step   350 | es-min 0.5981 | es-mean 0.8836 | val 72.28% | ternary-only 72.28% | gd 0.4762 | es-evals 0.4M | 211s
step   400 | es-min 0.7101 | es-mean 1.1383 | val 75.38% | ternary-only 75.38% | gd 0.7446 | es-evals 0.4M | 241s
step   450 | es-min 0.4075 | es-mean 0.6136 | val 77.61% | ternary-only 77.61% | gd 0.4022 | es-evals 0.5M | 271s
step   500 | es-min 0.3519 | es-mean 0.7196 | val 72.99% | ternary-only 72.99% | gd 0.3828 | es-evals 0.5M | 301s
step   550 | es-min 0.4302 | es-mean 0.7458 | val 78.69% | ternary-only 78.69% | gd 0.4926 | es-evals 0.6M | 331s
step   600 | es-min 0.4685 | es-mean 0.7412 | val 82.89% | ternary-only 82.89% | gd 0.4063 | es-evals 0.6M | 361s
step   650 | es-min 0.3072 | es-mean 0.5367 | val 79.26% | ternary-only 79.26% | gd 0.3155 | es-evals 0.7M | 391s
step   700 | es-min 0.2630 | es-mean 0.4015 | val 73.91% | ternary-only 73.91% | gd 0.1901 | es-evals 0.7M | 421s
step   750 | es-min 0.4382 | es-mean 0.6493 | val 75.58% | ternary-only 75.58% | gd 0.4855 | es-evals 0.8M | 450s
step   800 | es-min 0.4507 | es-mean 0.7441 | val 65.26% | ternary-only 65.26% | gd 0.4241 | es-evals 0.8M | 481s
step   850 | es-min 0.5027 | es-mean 0.8036 | val 75.00% | ternary-only 75.00% | gd 0.5048 | es-evals 0.9M | 510s
step   900 | es-min 0.5845 | es-mean 0.8781 | val 80.04% | ternary-only 80.04% | gd 0.5100 | es-evals 0.9M | 541s
step   950 | es-min 0.3213 | es-mean 0.5803 | val 84.27% | ternary-only 84.27% | gd 0.3320 | es-evals 1.0M | 570s
step  1000 | es-min 0.4474 | es-mean 0.8027 | val 77.81% | ternary-only 77.81% | gd 0.4189 | es-evals 1.0M | 601s
step  1050 | es-min 0.4955 | es-mean 0.7356 | val 68.25% | ternary-only 68.25% | gd 0.5448 | es-evals 1.1M | 630s
step  1100 | es-min 0.5051 | es-mean 0.9965 | val 62.76% | ternary-only 62.76% | gd 0.4754 | es-evals 1.1M | 660s
step  1150 | es-min 0.4106 | es-mean 0.6728 | val 64.58% | ternary-only 64.58% | gd 0.5210 | es-evals 1.2M | 690s
step  1200 | es-min 0.4803 | es-mean 0.7939 | val 57.41% | ternary-only 57.41% | gd 0.3656 | es-evals 1.2M | 720s
step  1250 | es-min 0.4480 | es-mean 0.7511 | val 64.16% | ternary-only 64.16% | gd 0.6163 | es-evals 1.3M | 750s
step  1300 | es-min 0.3454 | es-mean 0.5659 | val 66.46% | ternary-only 66.46% | gd 0.4186 | es-evals 1.3M | 780s
step  1350 | es-min 0.3570 | es-mean 0.6614 | val 44.47% | ternary-only 44.47% | gd 0.3279 | es-evals 1.4M | 810s
step  1400 | es-min 0.5072 | es-mean 0.9165 | val 59.64% | ternary-only 59.64% | gd 0.4174 | es-evals 1.4M | 840s
step  1450 | es-min 0.4935 | es-mean 0.7463 | val 47.83% | ternary-only 47.83% | gd 0.4551 | es-evals 1.5M | 869s
step  1500 | es-min 0.4120 | es-mean 0.7082 | val 55.54% | ternary-only 55.54% | gd 0.3485 | es-evals 1.5M | 900s
step  1550 | es-min 0.9679 | es-mean 1.5144 | val 60.04% | ternary-only 60.04% | gd 0.7413 | es-evals 1.6M | 930s
step  1600 | es-min 0.9858 | es-mean 1.5234 | val 48.30% | ternary-only 48.30% | gd 0.8358 | es-evals 1.6M | 960s
step  1650 | es-min 0.5763 | es-mean 0.8516 | val 48.58% | ternary-only 48.58% | gd 0.5569 | es-evals 1.7M | 990s
