!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 50 --gd-opt sign | tee -a mnist_fold_50_sign.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=sign | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 9.54% | ternary-only 12.48% | gd 2.2019 | es-evals 0.0M | 4s
step    50 | es-min 1.7165 | es-mean 2.0605 | val 29.72% | ternary-only 29.72% | gd 1.8369 | es-evals 0.1M | 33s
step   100 | es-min 1.2369 | es-mean 1.5701 | val 40.56% | ternary-only 40.56% | gd 1.0854 | es-evals 0.1M | 62s
step   150 | es-min 0.9068 | es-mean 1.2871 | val 59.14% | ternary-only 59.14% | gd 0.7600 | es-evals 0.2M | 91s
step   200 | es-min 0.9342 | es-mean 1.4929 | val 49.37% | ternary-only 49.37% | gd 0.8424 | es-evals 0.2M | 120s
step   250 | es-min 1.0948 | es-mean 1.5571 | val 58.29% | ternary-only 58.29% | gd 1.1606 | es-evals 0.3M | 149s
step   300 | es-min 0.8235 | es-mean 1.2521 | val 67.45% | ternary-only 67.45% | gd 0.7825 | es-evals 0.3M | 177s
step   350 | es-min 0.9795 | es-mean 1.6510 | val 64.06% | ternary-only 64.06% | gd 1.0445 | es-evals 0.4M | 207s
step   400 | es-min 0.9152 | es-mean 1.3455 | val 58.97% | ternary-only 58.97% | gd 0.8252 | es-evals 0.4M | 236s
step   450 | es-min 0.6458 | es-mean 0.9839 | val 65.40% | ternary-only 65.40% | gd 0.6327 | es-evals 0.5M | 264s
step   500 | es-min 0.4894 | es-mean 0.8146 | val 71.48% | ternary-only 71.48% | gd 0.5042 | es-evals 0.5M | 294s
step   550 | es-min 0.4081 | es-mean 0.6225 | val 69.55% | ternary-only 69.55% | gd 0.3197 | es-evals 0.6M | 322s
step   600 | es-min 0.9090 | es-mean 1.5622 | val 71.30% | ternary-only 71.30% | gd 0.7273 | es-evals 0.6M | 351s
step   650 | es-min 0.5739 | es-mean 0.8535 | val 65.71% | ternary-only 65.71% | gd 0.5276 | es-evals 0.7M | 380s
step   700 | es-min 0.4650 | es-mean 0.8331 | val 70.63% | ternary-only 70.63% | gd 0.5243 | es-evals 0.7M | 409s
step   750 | es-min 0.6478 | es-mean 1.0154 | val 73.10% | ternary-only 73.10% | gd 0.6554 | es-evals 0.8M | 439s
step   800 | es-min 0.5742 | es-mean 0.9162 | val 73.76% | ternary-only 73.76% | gd 0.6433 | es-evals 0.8M | 467s
step   850 | es-min 0.5320 | es-mean 0.8111 | val 73.12% | ternary-only 73.12% | gd 0.4868 | es-evals 0.9M | 496s
step   900 | es-min 0.4735 | es-mean 0.6679 | val 71.67% | ternary-only 71.67% | gd 0.4801 | es-evals 0.9M | 526s
step   950 | es-min 0.7070 | es-mean 1.1374 | val 71.08% | ternary-only 71.08% | gd 0.6530 | es-evals 1.0M | 554s
step  1000 | es-min 0.5192 | es-mean 0.7640 | val 72.52% | ternary-only 72.52% | gd 0.5899 | es-evals 1.0M | 583s
step  1050 | es-min 0.5849 | es-mean 0.8606 | val 69.16% | ternary-only 69.16% | gd 0.5542 | es-evals 1.1M | 612s
step  1100 | es-min 0.6480 | es-mean 1.1332 | val 63.33% | ternary-only 63.33% | gd 0.4879 | es-evals 1.1M | 641s
step  1150 | es-min 0.4438 | es-mean 0.7022 | val 70.88% | ternary-only 70.88% | gd 0.5185 | es-evals 1.2M | 670s
step  1200 | es-min 0.5843 | es-mean 0.8201 | val 65.90% | ternary-only 65.90% | gd 0.4610 | es-evals 1.2M | 699s
step  1250 | es-min 1.4312 | es-mean 2.0919 | val 53.39% | ternary-only 53.39% | gd 1.1052 | es-evals 1.3M | 728s
step  1300 | es-min 0.9050 | es-mean 1.4405 | val 54.39% | ternary-only 54.39% | gd 0.6284 | es-evals 1.3M | 756s
step  1350 | es-min 0.7566 | es-mean 1.3754 | val 48.18% | ternary-only 48.18% | gd 0.5225 | es-evals 1.4M | 786s
step  1400 | es-min 0.4031 | es-mean 0.6097 | val 62.16% | ternary-only 62.16% | gd 0.4491 | es-evals 1.4M | 815s
step  1450 | es-min 0.6752 | es-mean 0.9614 | val 69.10% | ternary-only 69.10% | gd 0.7603 | es-evals 1.5M | 844s
step  1500 | es-min 0.8536 | es-mean 1.4621 | val 47.34% | ternary-only 47.34% | gd 0.7580 | es-evals 1.5M | 873s
step  1550 | es-min 0.8886 | es-mean 1.2931 | val 65.27% | ternary-only 65.27% | gd 0.8446 | es-evals 1.6M | 902s
step  1600 | es-min 0.7513 | es-mean 1.0786 | val 45.94% | ternary-only 45.94% | gd 0.7227 | es-evals 1.6M | 931s
step  1650 | es-min 1.0036 | es-mean 1.8512 | val 34.82% | ternary-only 34.82% | gd 0.7975 | es-evals 1.7M | 960s
step  1700 | es-min 0.5441 | es-mean 0.8136 | val 58.40% | ternary-only 58.40% | gd 0.5248 | es-evals 1.7M | 988s
step  1750 | es-min 0.6157 | es-mean 0.9959 | val 59.83% | ternary-only 59.83% | gd 0.6003 | es-evals 1.8M | 1018s
