!python -u spike-m2rnn/hybrid/train.py --dataset mnist  | tee -a mnist_hybrid.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 9.51% | ternary-only 12.48% | gd 2.2019 | es-evals 0.0M | 5s
step    50 | es-min 1.7937 | es-mean 2.0643 | val 37.20% | ternary-only 11.35% | gd 1.8107 | es-evals 0.1M | 34s
step   100 | es-min 1.8700 | es-mean 2.5730 | val 41.76% | ternary-only 11.35% | gd 1.7628 | es-evals 0.1M | 65s
step   150 | es-min 1.0559 | es-mean 1.5337 | val 56.68% | ternary-only 12.89% | gd 0.9584 | es-evals 0.2M | 95s
step   200 | es-min 1.1456 | es-mean 1.4699 | val 55.87% | ternary-only 14.63% | gd 1.0803 | es-evals 0.2M | 126s
step   250 | es-min 1.0778 | es-mean 1.4068 | val 60.75% | ternary-only 12.43% | gd 1.0229 | es-evals 0.3M | 155s
step   300 | es-min 1.0984 | es-mean 1.6283 | val 62.64% | ternary-only 11.98% | gd 1.0215 | es-evals 0.3M | 186s
step   350 | es-min 0.9782 | es-mean 1.2498 | val 68.30% | ternary-only 14.47% | gd 1.0246 | es-evals 0.4M | 216s
step   400 | es-min 1.3171 | es-mean 1.5946 | val 61.03% | ternary-only 11.00% | gd 1.3430 | es-evals 0.4M | 247s
step   450 | es-min 1.0456 | es-mean 1.6214 | val 56.29% | ternary-only 16.98% | gd 1.0806 | es-evals 0.5M | 277s
step   500 | es-min 1.2515 | es-mean 1.5347 | val 57.98% | ternary-only 10.61% | gd 1.3024 | es-evals 0.5M | 307s
step   550 | es-min 1.0005 | es-mean 1.1972 | val 55.06% | ternary-only 12.47% | gd 0.9557 | es-evals 0.6M | 337s
step   600 | es-min 1.3212 | es-mean 1.5937 | val 34.32% | ternary-only 15.86% | gd 1.3773 | es-evals 0.6M | 367s
step   650 | es-min 1.1694 | es-mean 1.3892 | val 51.44% | ternary-only 11.53% | gd 1.1586 | es-evals 0.7M | 397s
step   700 | es-min 1.0329 | es-mean 1.2249 | val 51.26% | ternary-only 16.14% | gd 1.0612 | es-evals 0.7M | 427s
step   750 | es-min 1.6118 | es-mean 1.8651 | val 45.02% | ternary-only 15.24% | gd 1.5308 | es-evals 0.8M | 458s
step   800 | es-min 1.4045 | es-mean 2.0941 | val 51.13% | ternary-only 13.79% | gd 1.4899 | es-evals 0.8M | 488s
step   850 | es-min 1.6391 | es-mean 2.1346 | val 47.75% | ternary-only 15.05% | gd 1.6460 | es-evals 0.9M | 519s
step   900 | es-min 1.3710 | es-mean 1.6157 | val 28.30% | ternary-only 13.93% | gd 1.4163 | es-evals 0.9M | 549s
step   950 | es-min 1.1557 | es-mean 1.3894 | val 51.87% | ternary-only 14.28% | gd 1.1222 | es-evals 1.0M | 579s
step  1000 | es-min 1.2652 | es-mean 1.6304 | val 44.97% | ternary-only 10.79% | gd 1.2338 | es-evals 1.0M | 609s
step  1050 | es-min 1.5222 | es-mean 1.8160 | val 42.45% | ternary-only 9.26% | gd 1.4505 | es-evals 1.1M | 639s
step  1100 | es-min 1.3541 | es-mean 1.6128 | val 43.23% | ternary-only 12.81% | gd 1.3883 | es-evals 1.1M | 669s
step  1150 | es-min 1.4594 | es-mean 1.7458 | val 40.13% | ternary-only 11.99% | gd 1.3689 | es-evals 1.2M | 699s
step  1200 | es-min 1.3964 | es-mean 1.5793 | val 43.97% | ternary-only 11.72% | gd 1.4624 | es-evals 1.2M | 730s
step  1250 | es-min 1.5913 | es-mean 2.0069 | val 38.31% | ternary-only 10.29% | gd 1.4213 | es-evals 1.3M | 760s
step  1300 | es-min 1.5700 | es-mean 2.0497 | val 35.96% | ternary-only 9.74% | gd 1.6925 | es-evals 1.3M | 790s
