!python -u spike-m2rnn/hybrid/train.py --dataset mnist --gd-opt muon | tee -a mnist_hybrid_muon.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=muon | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 12.15% | ternary-only 12.48% | gd 2.2019 | es-evals 0.0M | 5s
step    50 | es-min 2.0425 | es-mean 2.4600 | val 32.30% | ternary-only 10.61% | gd 1.9765 | es-evals 0.1M | 35s
step   100 | es-min 1.4516 | es-mean 1.7538 | val 38.17% | ternary-only 7.65% | gd 1.4369 | es-evals 0.1M | 65s
step   150 | es-min 1.0878 | es-mean 1.2942 | val 48.67% | ternary-only 9.73% | gd 1.0840 | es-evals 0.2M | 96s
step   200 | es-min 1.1200 | es-mean 1.4293 | val 47.61% | ternary-only 7.61% | gd 1.1300 | es-evals 0.2M | 126s
step   250 | es-min 1.2745 | es-mean 1.5121 | val 55.53% | ternary-only 10.38% | gd 1.3005 | es-evals 0.3M | 157s
step   300 | es-min 1.1389 | es-mean 1.4401 | val 50.19% | ternary-only 10.73% | gd 1.1804 | es-evals 0.3M | 188s
step   350 | es-min 1.4296 | es-mean 1.8155 | val 49.88% | ternary-only 9.59% | gd 1.3780 | es-evals 0.4M | 219s
step   400 | es-min 1.2946 | es-mean 1.5923 | val 51.45% | ternary-only 9.97% | gd 1.3658 | es-evals 0.4M | 250s
step   450 | es-min 1.1082 | es-mean 1.7038 | val 53.96% | ternary-only 12.15% | gd 1.0651 | es-evals 0.5M | 281s
step   500 | es-min 0.9361 | es-mean 1.2491 | val 56.25% | ternary-only 14.94% | gd 0.9446 | es-evals 0.5M | 311s
step   550 | es-min 0.7652 | es-mean 0.9153 | val 57.60% | ternary-only 13.21% | gd 0.7417 | es-evals 0.6M | 343s
step   600 | es-min 1.1663 | es-mean 1.4500 | val 55.16% | ternary-only 10.94% | gd 1.0960 | es-evals 0.6M | 373s
step   650 | es-min 0.9824 | es-mean 1.1334 | val 61.38% | ternary-only 9.85% | gd 0.9376 | es-evals 0.7M | 404s
step   700 | es-min 0.8267 | es-mean 1.0660 | val 53.25% | ternary-only 10.97% | gd 0.8158 | es-evals 0.7M | 435s
step   750 | es-min 1.2964 | es-mean 1.7832 | val 60.98% | ternary-only 12.41% | gd 1.1732 | es-evals 0.8M | 466s
step   800 | es-min 0.9522 | es-mean 1.2996 | val 63.98% | ternary-only 10.30% | gd 0.9157 | es-evals 0.8M | 497s
step   850 | es-min 0.9167 | es-mean 1.2006 | val 62.33% | ternary-only 9.66% | gd 0.8876 | es-evals 0.9M | 528s
