!python -u spike-m2rnn/hybrid/train.py --dataset mnist --gd-opt sign | tee -a mnist_hybrid_sign.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=sign | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 9.54% | ternary-only 12.48% | gd 2.2019 | es-evals 0.0M | 5s
step    50 | es-min 1.7165 | es-mean 2.0605 | val 36.27% | ternary-only 9.80% | gd 1.8369 | es-evals 0.1M | 33s
step   100 | es-min 1.8107 | es-mean 2.4824 | val 41.67% | ternary-only 10.24% | gd 1.5556 | es-evals 0.1M | 63s
step   150 | es-min 1.0952 | es-mean 1.4289 | val 54.26% | ternary-only 10.47% | gd 1.1200 | es-evals 0.2M | 92s
step   200 | es-min 1.0319 | es-mean 1.3337 | val 59.34% | ternary-only 13.64% | gd 1.0656 | es-evals 0.2M | 121s
step   250 | es-min 1.1427 | es-mean 1.5740 | val 61.00% | ternary-only 13.74% | gd 1.0506 | es-evals 0.3M | 151s
step   300 | es-min 1.0606 | es-mean 1.4637 | val 60.37% | ternary-only 12.65% | gd 1.0375 | es-evals 0.3M | 180s
step   350 | es-min 0.8812 | es-mean 1.3032 | val 64.27% | ternary-only 13.40% | gd 0.9372 | es-evals 0.4M | 210s
step   400 | es-min 1.1580 | es-mean 1.5391 | val 56.87% | ternary-only 12.19% | gd 1.1824 | es-evals 0.4M | 240s
step   450 | es-min 0.9977 | es-mean 1.4568 | val 60.30% | ternary-only 16.26% | gd 0.8743 | es-evals 0.5M | 269s
step   500 | es-min 0.7689 | es-mean 1.0202 | val 57.16% | ternary-only 15.22% | gd 0.6927 | es-evals 0.5M | 299s
step   550 | es-min 0.8586 | es-mean 1.1194 | val 65.21% | ternary-only 9.96% | gd 0.8503 | es-evals 0.6M | 328s
step   600 | es-min 0.9391 | es-mean 1.2382 | val 61.51% | ternary-only 13.37% | gd 0.9399 | es-evals 0.6M | 359s
step   650 | es-min 0.7434 | es-mean 1.0009 | val 52.61% | ternary-only 11.79% | gd 0.7463 | es-evals 0.7M | 388s
step   700 | es-min 0.9178 | es-mean 1.1985 | val 57.78% | ternary-only 11.46% | gd 0.9609 | es-evals 0.7M | 417s
step   750 | es-min 1.0241 | es-mean 1.3798 | val 58.49% | ternary-only 13.00% | gd 1.0763 | es-evals 0.8M | 448s
step   800 | es-min 0.8918 | es-mean 1.1162 | val 64.90% | ternary-only 11.34% | gd 0.8695 | es-evals 0.8M | 477s
step   850 | es-min 1.0758 | es-mean 1.2958 | val 60.62% | ternary-only 11.36% | gd 1.0315 | es-evals 0.9M | 507s
step   900 | es-min 0.9783 | es-mean 1.2679 | val 56.77% | ternary-only 11.39% | gd 0.9616 | es-evals 0.9M | 537s
step   950 | es-min 1.1028 | es-mean 1.3782 | val 56.58% | ternary-only 11.67% | gd 0.9936 | es-evals 1.0M | 567s
step  1000 | es-min 1.2157 | es-mean 1.7566 | val 58.61% | ternary-only 9.43% | gd 1.1892 | es-evals 1.0M | 596s
step  1050 | es-min 1.0540 | es-mean 1.3440 | val 54.80% | ternary-only 7.76% | gd 1.0254 | es-evals 1.1M | 626s
step  1100 | es-min 1.1854 | es-mean 1.6309 | val 57.59% | ternary-only 7.87% | gd 1.2603 | es-evals 1.1M | 656s
step  1150 | es-min 1.4566 | es-mean 2.1194 | val 43.91% | ternary-only 9.79% | gd 1.3053 | es-evals 1.2M | 686s
step  1200 | es-min 1.0629 | es-mean 1.4834 | val 56.61% | ternary-only 9.50% | gd 1.0388 | es-evals 1.2M | 715s
step  1250 | es-min 1.3987 | es-mean 1.9060 | val 48.14% | ternary-only 6.93% | gd 1.2635 | es-evals 1.3M | 745s
step  1300 | es-min 1.1788 | es-mean 1.7481 | val 54.08% | ternary-only 9.89% | gd 1.0502 | es-evals 1.3M | 774s
step  1350 | es-min 1.2878 | es-mean 1.9029 | val 44.08% | ternary-only 9.96% | gd 1.3340 | es-evals 1.4M | 805s
step  1400 | es-min 1.2092 | es-mean 1.8477 | val 45.98% | ternary-only 10.30% | gd 1.1153 | es-evals 1.4M | 834s
step  1450 | es-min 1.5719 | es-mean 2.0126 | val 35.49% | ternary-only 6.92% | gd 1.6808 | es-evals 1.5M | 864s
step  1500 | es-min 1.1594 | es-mean 1.5500 | val 50.49% | ternary-only 10.99% | gd 1.1896 | es-evals 1.5M | 894s
step  1550 | es-min 1.5673 | es-mean 2.2952 | val 43.67% | ternary-only 11.35% | gd 1.4214 | es-evals 1.6M | 923s
step  1600 | es-min 1.3850 | es-mean 1.9221 | val 39.25% | ternary-only 10.15% | gd 1.4109 | es-evals 1.6M | 953s
step  1650 | es-min 1.8306 | es-mean 2.3731 | val 24.48% | ternary-only 8.72% | gd 1.8385 | es-evals 1.7M | 983s
step  1700 | es-min 1.5881 | es-mean 2.2015 | val 33.60% | ternary-only 14.80% | gd 1.8210 | es-evals 1.7M | 1013s
step  1750 | es-min 1.5926 | es-mean 2.2498 | val 41.82% | ternary-only 11.35% | gd 1.8440 | es-evals 1.8M | 1042s
step  1800 | es-min 1.7091 | es-mean 2.5127 | val 36.54% | ternary-only 11.35% | gd 1.5696 | es-evals 1.8M | 1071s
step  1850 | es-min 1.7885 | es-mean 2.4619 | val 21.25% | ternary-only 11.42% | gd 2.1378 | es-evals 1.9M | 1101s
step  1900 | es-min 1.6841 | es-mean 2.0830 | val 38.13% | ternary-only 4.25% | gd 1.6930 | es-evals 1.9M | 1131s
step  1950 | es-min 1.7765 | es-mean 2.3139 | val 32.65% | ternary-only 12.30% | gd 1.8702 | es-evals 2.0M | 1161s
step  2000 | es-min 1.6520 | es-mean 2.4265 | val 36.52% | ternary-only 12.12% | gd 1.7435 | es-evals 2.0M | 1190s
