!python -u spike-m2rnn/hybrid/train.py --dataset mnist --rank 0 | tee -a mnist_rank_0.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=0 | base(ternary) params=69k  residual(fp) params=0.0k (0.0% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.2589 | es-mean 2.3799 | val 11.35% | es-evals 0.0M | 3s
step    50 | es-min 2.1776 | es-mean 2.3205 | val 11.96% | es-evals 0.1M | 23s
step   100 | es-min 1.8270 | es-mean 2.0204 | val 27.97% | es-evals 0.1M | 44s
step   150 | es-min 1.4459 | es-mean 1.6745 | val 43.78% | es-evals 0.2M | 64s
step   200 | es-min 1.2141 | es-mean 1.5288 | val 56.08% | es-evals 0.2M | 85s
step   250 | es-min 1.0715 | es-mean 1.3398 | val 61.94% | es-evals 0.3M | 106s
step   300 | es-min 0.7908 | es-mean 1.0463 | val 63.76% | es-evals 0.3M | 127s
step   350 | es-min 0.6546 | es-mean 0.9189 | val 67.55% | es-evals 0.4M | 148s
step   400 | es-min 0.8152 | es-mean 1.0950 | val 71.73% | es-evals 0.4M | 170s
step   450 | es-min 0.6281 | es-mean 0.9002 | val 71.97% | es-evals 0.5M | 192s
step   500 | es-min 0.8066 | es-mean 1.0730 | val 73.58% | es-evals 0.5M | 213s
step   550 | es-min 0.8948 | es-mean 1.1567 | val 74.74% | es-evals 0.6M | 235s
step   600 | es-min 0.7312 | es-mean 1.0193 | val 72.14% | es-evals 0.6M | 257s
step   650 | es-min 0.7019 | es-mean 0.9439 | val 76.20% | es-evals 0.7M | 279s
step   700 | es-min 0.8151 | es-mean 1.0258 | val 77.11% | es-evals 0.7M | 301s
step   750 | es-min 0.6561 | es-mean 0.8635 | val 77.36% | es-evals 0.8M | 323s
step   800 | es-min 0.6750 | es-mean 0.9856 | val 76.85% | es-evals 0.8M | 345s
step   850 | es-min 0.5192 | es-mean 0.7110 | val 78.05% | es-evals 0.9M | 367s
step   900 | es-min 0.4966 | es-mean 0.7160 | val 79.33% | es-evals 0.9M | 389s
step   950 | es-min 0.4783 | es-mean 0.6745 | val 80.38% | es-evals 1.0M | 412s
step  1000 | es-min 0.5247 | es-mean 0.7133 | val 80.74% | es-evals 1.0M | 434s
step  1050 | es-min 0.6055 | es-mean 0.8417 | val 80.66% | es-evals 1.1M | 456s
step  1100 | es-min 0.7812 | es-mean 1.0065 | val 81.00% | es-evals 1.1M | 479s
step  1150 | es-min 0.4076 | es-mean 0.6098 | val 82.24% | es-evals 1.2M | 502s
step  1200 | es-min 0.3958 | es-mean 0.5444 | val 82.52% | es-evals 1.2M | 524s
step  1250 | es-min 0.6622 | es-mean 0.9180 | val 83.79% | es-evals 1.3M | 547s
step  1300 | es-min 0.3300 | es-mean 0.4558 | val 83.83% | es-evals 1.3M | 570s
step  1350 | es-min 0.3524 | es-mean 0.5285 | val 83.90% | es-evals 1.4M | 593s
step  1400 | es-min 0.4767 | es-mean 0.6300 | val 84.62% | es-evals 1.4M | 616s
step  1450 | es-min 0.4129 | es-mean 0.5877 | val 84.33% | es-evals 1.5M | 638s
step  1500 | es-min 0.3635 | es-mean 0.5833 | val 83.48% | es-evals 1.5M | 661s
step  1550 | es-min 0.4965 | es-mean 0.7158 | val 83.74% | es-evals 1.6M | 684s
step  1600 | es-min 0.3871 | es-mean 0.5734 | val 84.40% | es-evals 1.6M | 707s
step  1650 | es-min 0.4442 | es-mean 0.5768 | val 85.29% | es-evals 1.7M | 730s
step  1700 | es-min 0.4346 | es-mean 0.6122 | val 84.64% | es-evals 1.7M | 753s
step  1750 | es-min 0.1997 | es-mean 0.3797 | val 84.88% | es-evals 1.8M | 775s
step  1800 | es-min 0.5993 | es-mean 0.8394 | val 85.37% | es-evals 1.8M | 798s
step  1850 | es-min 0.4243 | es-mean 0.5929 | val 85.82% | es-evals 1.9M | 821s
step  1900 | es-min 0.3278 | es-mean 0.4826 | val 85.31% | es-evals 1.9M | 843s
step  1950 | es-min 0.3735 | es-mean 0.5505 | val 85.62% | es-evals 2.0M | 866s
step  2000 | es-min 0.4629 | es-mean 0.6380 | val 86.09% | es-evals 2.0M | 890s
